"session","id","id_case","stage","role","age","ses","sex_female","faculty_player","iri_fs","iri_ec","iri_pt","iri_pd","target","judgement","decision_target","decision_other","faculty_target","faculty_other","faculty_victim","group_target","group_other","n_match","obs_group"
1,1,"1s1",1,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,0,0,1,0,0,1,1
1,1,"1s1",1,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,1,0,0,1,0,0,1,1
1,1,"1s2",2,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,1,1,2,1,1,1,2
1,1,"1s2",2,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,1,0,1,1,2,1,1,1,2
1,1,"1s3",3,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,0,0,2,0,0,1,2
1,1,"1s3",3,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,1,0,0,2,0,0,1,2
1,1,"1s4",4,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,0,0,2,0,0,1,2
1,1,"1s4",4,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,1,0,0,0,2,0,0,1,2
1,1,"1s5",5,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,0,2,2,2,2,2,1,2
1,1,"1s5",5,0,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,0,2,2,2,2,2,1,2
1,1,"1s6",6,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,2,0,,2,0,0,
1,1,"1s6",6,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,-9,1,0,0,2,,0,2,0,
1,1,"1s7",7,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,2,1,,2,1,0,
