"session","id","id_case","stage","role","age","ses","sex_female","faculty_player","iri_fs","iri_ec","iri_pt","iri_pd","target","judgement","decision_target","decision_other","faculty_target","faculty_other","faculty_victim","group_target","group_other","n_match","obs_group","role_observer","analysis_include","participant_faculty","participant_engineering","sex","sex_man","economic_status","iri_total","negotiator_slot","group_negotiator_judged","group_negotiator_counterpart","group_victim","group_negotiator1","group_negotiator2","negotiator_alignment","counterpart_alignment","faculty_negotiator1","faculty_negotiator2","faculty_negotiator","faculty_counterpart_negotiator","N1_N2_same_faculty","victim_N1_group","victim_N2_group","bystander_N1_group","bystander_N2_group","bystander_victim_group","decision_accept","counterpart_decision_accept","judged_ingroup","judged_outgroup","judged_control","counterpart_ingroup","counterpart_outgroup","counterpart_control","observer_victim_outgroup","negotiator1_outgroup","negotiator1_control","negotiator2_outgroup","negotiator2_control","perp_outgroup","perp_control","victim_outgroup","same_group_harm","case_configuration","case_configuration_role","case_configuration_decision","case_configuration_context","case_hum_x_hum","case_hum_x_ing","case_hum_x_control","case_ing_x_hum","case_ing_x_ing","case_ing_x_control","analytic_case_configuration","analytic_case_configuration_decision","analytic_case_configuration_context","acfg_victim_j_in_c_in","acfg_victim_j_out_c_in","acfg_victim_j_cont_c_in","acfg_victim_j_in_c_out","acfg_victim_j_out_c_out","acfg_victim_j_cont_c_out","acfg_victim_j_in_c_cont","acfg_victim_j_out_c_cont","acfg_victim_j_cont_c_cont","acfg_observer_j_in_c_in_v_in","acfg_observer_j_out_c_in_v_in","acfg_observer_j_cont_c_in_v_in","acfg_observer_j_in_c_out_v_in","acfg_observer_j_out_c_out_v_in","acfg_observer_j_cont_c_out_v_in","acfg_observer_j_in_c_cont_v_in","acfg_observer_j_out_c_cont_v_in","acfg_observer_j_cont_c_cont_v_in","acfg_observer_j_in_c_in_v_out","acfg_observer_j_out_c_in_v_out","acfg_observer_j_cont_c_in_v_out","acfg_observer_j_in_c_out_v_out","acfg_observer_j_out_c_out_v_out","acfg_observer_j_cont_c_out_v_out","acfg_observer_j_in_c_cont_v_out","acfg_observer_j_out_c_cont_v_out","acfg_observer_j_cont_c_cont_v_out","h2_negotiator_structure","player_victim_alignment","player_victim_outgroup","h2_negstruct_j_in_c_in","h2_negstruct_j_out_c_in","h2_negstruct_j_cont_c_in","h2_negstruct_j_in_c_out","h2_negstruct_j_out_c_out","h2_negstruct_j_cont_c_out","h2_negstruct_j_in_c_cont","h2_negstruct_j_out_c_cont","scenario_has_control","condemnation"
1,1,"1s1",1,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,0,0,1,"Control","Control",1,"Ingroup",1,TRUE,1,0,2,1,4,1.25,1,"Cont","Cont","In","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","In",1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,"Hum_x_Control","Hum_x_Control__Observer","Hum_x_Control__Accept","Hum_x_Control__Observer__Accept",0,0,1,0,0,0,"Observer__J_Cont__C_Cont__V_In","Observer__J_Cont__C_Cont__V_In__Accept","Observer__J_Cont__C_Cont__V_In__Accept",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"J_Cont__C_Cont","In",0,0,0,0,0,0,0,0,0,1,9
1,1,"1s1",1,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,1,0,0,1,"Control","Control",1,"Ingroup",1,TRUE,1,0,2,1,4,1.25,2,"Cont","Cont","In","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","In",1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,"Hum_x_Control","Hum_x_Control__Observer","Hum_x_Control__Accept","Hum_x_Control__Observer__Accept",0,0,1,0,0,0,"Observer__J_Cont__C_Cont__V_In","Observer__J_Cont__C_Cont__V_In__Accept","Observer__J_Cont__C_Cont__V_In__Accept",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"J_Cont__C_Cont","In",0,0,0,0,0,0,0,0,0,1,-9
1,1,"1s2",2,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,1,1,2,"Ingroup","Ingroup",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,1,"In","In","Out","In","In","ingroup","ingroup",1,1,1,1,1,"Out","Out","In","In","Out",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"Ing_x_Hum","Ing_x_Hum__Observer","Ing_x_Hum__Reject","Ing_x_Hum__Observer__Reject",0,0,0,1,0,0,"Observer__J_In__C_In__V_Out","Observer__J_In__C_In__V_Out__Reject","Observer__J_In__C_In__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"J_In__C_In","Out",1,1,0,0,0,0,0,0,0,0,-9
1,1,"1s2",2,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,1,0,1,1,2,"Ingroup","Ingroup",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,2,"In","In","Out","In","In","ingroup","ingroup",1,1,1,1,1,"Out","Out","In","In","Out",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"Ing_x_Hum","Ing_x_Hum__Observer","Ing_x_Hum__Reject","Ing_x_Hum__Observer__Reject",0,0,0,1,0,0,"Observer__J_In__C_In__V_Out","Observer__J_In__C_In__V_Out__Reject","Observer__J_In__C_In__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"J_In__C_In","Out",1,1,0,0,0,0,0,0,0,0,-9
1,1,"1s3",3,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,0,0,2,"Control","Control",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,1,"Cont","Cont","Out","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","Out",1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,"Ing_x_Control","Ing_x_Control__Observer","Ing_x_Control__Accept","Ing_x_Control__Observer__Accept",0,0,0,0,0,1,"Observer__J_Cont__C_Cont__V_Out","Observer__J_Cont__C_Cont__V_Out__Accept","Observer__J_Cont__C_Cont__V_Out__Accept",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"J_Cont__C_Cont","Out",1,0,0,0,0,0,0,0,0,1,9
1,1,"1s3",3,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,1,0,0,2,"Control","Control",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,2,"Cont","Cont","Out","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","Out",1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,"Ing_x_Control","Ing_x_Control__Observer","Ing_x_Control__Accept","Ing_x_Control__Observer__Accept",0,0,0,0,0,1,"Observer__J_Cont__C_Cont__V_Out","Observer__J_Cont__C_Cont__V_Out__Accept","Observer__J_Cont__C_Cont__V_Out__Accept",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"J_Cont__C_Cont","Out",1,0,0,0,0,0,0,0,0,1,-9
1,1,"1s4",4,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,0,0,2,"Control","Control",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,1,"Cont","Cont","Out","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","Out",0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,"Ing_x_Control","Ing_x_Control__Observer","Ing_x_Control__Reject","Ing_x_Control__Observer__Reject",0,0,0,0,0,1,"Observer__J_Cont__C_Cont__V_Out","Observer__J_Cont__C_Cont__V_Out__Reject","Observer__J_Cont__C_Cont__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"J_Cont__C_Cont","Out",1,0,0,0,0,0,0,0,0,1,-9
1,1,"1s4",4,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,1,0,0,0,2,"Control","Control",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,2,"Cont","Cont","Out","Cont","Cont","control","control",3,3,3,3,1,"Cont","Cont","Cont","Cont","Out",0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,"Ing_x_Control","Ing_x_Control__Observer","Ing_x_Control__Reject","Ing_x_Control__Observer__Reject",0,0,0,0,0,1,"Observer__J_Cont__C_Cont__V_Out","Observer__J_Cont__C_Cont__V_Out__Reject","Observer__J_Cont__C_Cont__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"J_Cont__C_Cont","Out",1,0,0,0,0,0,0,0,0,1,-9
1,1,"1s5",5,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,0,2,2,2,"Outgroup","Outgroup",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,1,"Out","Out","Out","Out","Out","outgroup","outgroup",2,2,2,2,1,"In","In","Out","Out","Out",0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,"Ing_x_Ing","Ing_x_Ing__Observer","Ing_x_Ing__Reject","Ing_x_Ing__Observer__Reject",0,0,0,0,1,0,"Observer__J_Out__C_Out__V_Out","Observer__J_Out__C_Out__V_Out__Reject","Observer__J_Out__C_Out__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"J_Out__C_Out","Out",1,0,0,0,0,1,0,0,0,0,-9
1,1,"1s5",5,"observer",22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,0,2,2,2,"Outgroup","Outgroup",1,"Outgroup",1,TRUE,1,0,2,1,4,1.25,2,"Out","Out","Out","Out","Out","outgroup","outgroup",2,2,2,2,1,"In","In","Out","Out","Out",0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,"Ing_x_Ing","Ing_x_Ing__Observer","Ing_x_Ing__Reject","Ing_x_Ing__Observer__Reject",0,0,0,0,1,0,"Observer__J_Out__C_Out__V_Out","Observer__J_Out__C_Out__V_Out__Reject","Observer__J_Out__C_Out__V_Out__Reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"J_Out__C_Out","Out",1,0,0,0,0,1,0,0,0,0,-9
