"variable","source_role","mapping_note"
"ses","base dataset","Used directly as the socioeconomic covariate in all models."
"sex_female","base dataset","Used directly as the sex covariate in all models: 1 = woman, 0 = man, missing = not reported."
"role","base dataset","Used directly from the Version 2.0 file: 1 = victim, 0 = bystander."
"faculty_player","base dataset","Used directly as participant faculty; re-labeled to Humanities / Engineering for modeling."
"faculty_target","base dataset","Used directly; reconstructed into N1/N2 faculty context so rows are not reshaped again."
"faculty_other","base dataset","Used directly; reconstructed into N1/N2 faculty context so rows are not reshaped again."
"faculty_victim","base dataset","Used directly; equals faculty_player in victim rows and remains explicit in bystander rows."
"group_target","base dataset","Legacy role-relative grouping from the source file; retained only for auditing, not as the main H2/H3/H5 predictors."
"group_other","base dataset","Legacy role-relative grouping from the source file; retained only for auditing, not as the main H2/H3/H5 predictors."
"obs_group","base dataset","Legacy bystander-victim grouping from the source file; retained only for auditing, not as the main H2/H3/H5 predictor."
"source_row_number","all rows","One-to-one row identifier copied from the Excel import to prove that the preparation stage does not create new observations."
"role_label","all rows","Role decoded from the source file: victim or bystander."
"target_label","all rows","Label for the judged negotiator in the current source row: N1 or N2."
"N1_faculty","all rows","Faculty of negotiator 1 reconstructed from faculty_target/faculty_other without reshaping the data again."
"N2_faculty","all rows","Faculty of negotiator 2 reconstructed from faculty_target/faculty_other without reshaping the data again."
"N1_decision","all rows","Decision of negotiator 1 reconstructed from decision_target/decision_other without reshaping the data again."
"N2_decision","all rows","Decision of negotiator 2 reconstructed from decision_target/decision_other without reshaping the data again."
"victim_N1_group","victim and bystander","Victim-to-N1 relation: ingroup when faculties match, including control-control; outgroup otherwise."
"victim_N2_group","victim and bystander","Victim-to-N2 relation: ingroup when faculties match, including control-control; outgroup otherwise."
"bystander_victim_group","bystander only","Bystander-to-victim relation: ingroup or outgroup."
"bystander_N1_group","bystander only","Bystander-to-N1 relation: ingroup when faculties match, including control-control; outgroup otherwise."
"bystander_N2_group","bystander only","Bystander-to-N2 relation: ingroup when faculties match, including control-control; outgroup otherwise."
"N1_N2_same_faculty","all rows","Contextual N1/N2 faculty relation: same when faculties match, including control-control; different otherwise."
"decision_pattern","all rows","Observed joint decision configuration from decision_target and decision_other, retaining the four target/other accept-reject combinations."
"faculty_player_factor","all rows","Participant faculty factor used in all models."
