"session","id","age","economic_status","sex","faculty_player","ac1","ac2","treatment","campus","attention_pass","valid_treatment","analysis_include","iri_total","iri_fs","iri_ec","iri_pt","iri_pd","faculty_neg_1_s1","faculty_neg_2_s1","faculty_victim_s1","decision_neg1_s1","decision_neg2_s1","judgement_n1_s1","judgement_n2_s1","judgement_compare_s1","faculty_neg_1_s2","faculty_neg_2_s2","faculty_victim_s2","decision_neg1_s2","decision_neg2_s2","judgement_n1_s2","judgement_n2_s2","judgement_compare_s2","faculty_neg_1_s3","faculty_neg_2_s3","faculty_victim_s3","decision_neg1_s3","decision_neg2_s3","judgement_n1_s3","judgement_n2_s3","judgement_compare_s3","faculty_neg_1_s4","faculty_neg_2_s4","faculty_victim_s4","decision_neg1_s4","decision_neg2_s4","judgement_n1_s4","judgement_n2_s4","judgement_compare_s4","faculty_neg_1_s5","faculty_neg_2_s5","faculty_victim_s5","decision_neg1_s5","decision_neg2_s5","judgement_n1_s5","judgement_n2_s5","judgement_compare_s5","faculty_neg_1_s6","faculty_neg_2_s6","faculty_victim_s6","decision_neg1_s6","decision_neg2_s6","judgement_n1_s6","judgement_n2_s6","judgement_compare_s6","faculty_neg_1_s7","faculty_neg_2_s7","faculty_victim_s7","decision_neg1_s7","decision_neg2_s7","judgement_n1_s7","judgement_n2_s7","judgement_compare_s7","faculty_neg_1_s8","faculty_neg_2_s8","faculty_victim_s8","decision_neg1_s8","decision_neg2_s8","judgement_n1_s8","judgement_n2_s8","judgement_compare_s8","faculty_neg_1_s9","faculty_neg_2_s9","faculty_victim_s9","decision_neg1_s9","decision_neg2_s9","judgement_n1_s9","judgement_n2_s9","judgement_compare_s9","faculty_neg_1_s10","faculty_neg_2_s10","faculty_victim_s10","decision_neg1_s10","decision_neg2_s10","judgement_n1_s10","judgement_n2_s10","judgement_compare_s10"
1,1,22,4,2,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,1.25,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,0,0,1,1,0,-9,9,1,1,1,2,0,1,9,9,3,0,0,2,1,0,-9,9,1,0,0,2,0,1,9,9,3,2,2,2,0,0,9,9,3,2,0,,0,1,9,-9,2,2,1,,1,0,-9,9,1,2,0,,1,0,0,0,3,0,2,,0,1,1,-9,2,2,2,,0,0,9,9,3
1,2,18,2,1,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,2.42857142857142,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,2,1,0,1,5,5,3,1,2,2,0,0,9,9,3,0,2,1,1,1,-3,-3,3,0,2,1,1,0,4,-5,2,2,0,1,0,1,3,-5,2,0,0,,0,1,-5,-5,3,0,2,,0,0,-9,-9,3,1,1,,1,0,9,9,3,0,1,,0,1,1,-4,2,2,1,,0,0,5,5,3
1,3,18,3,1,1,,,1,"Version 2.0",TRUE,TRUE,TRUE,2.21428571428571,3.71428571428571,2,0.857142857142857,2.28571428571429,1,1,,0,1,5,-5,2,2,2,,1,1,0,0,3,2,0,,0,1,9,-9,2,2,0,,1,0,-9,9,1,1,2,,0,0,9,9,3,0,2,1,0,1,9,9,3,0,0,2,0,1,9,9,3,1,0,1,0,0,9,9,3,2,1,2,0,1,9,-9,2,2,0,1,1,1,9,9,3
1,4,45,2,1,1,,,1,"Version 2.0",TRUE,TRUE,TRUE,2.78571428571429,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,0,,1,1,-9,-9,3,0,0,,0,0,9,9,3,2,1,,0,0,9,9,3,0,1,,0,0,9,9,3,1,2,,0,1,9,-9,2,1,0,2,0,0,9,9,3,1,0,1,0,0,9,9,3,1,1,1,0,0,9,9,3,2,2,1,0,1,9,-9,2,1,2,2,1,0,-9,9,1
1,5,28,3,2,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,2.46428571428571,2,3.28571428571429,2.71428571428571,1.85714285714286,0,2,2,0,1,-1,-1,3,0,0,2,1,0,-2,1,1,1,0,1,0,0,4,4,3,0,2,2,0,0,3,3,3,2,0,1,0,1,-4,-4,3,0,0,,1,0,-3,3,1,2,1,,0,0,5,5,3,2,1,,1,1,-2,-2,3,2,0,,1,0,-5,4,1,2,1,,0,1,3,-3,2
1,6,19,3,1,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,2.53571428571429,2.28571428571429,2.85714285714286,3,2,0,2,2,0,1,-5,-5,3,2,0,1,1,1,5,5,3,0,2,1,0,0,9,9,3,1,0,2,0,1,-5,9,1,0,1,1,0,0,9,9,3,1,0,,1,1,-9,-9,3,2,2,,0,1,9,-9,2,1,2,,0,1,9,-9,2,1,1,,0,0,9,9,3,2,2,,0,1,9,-9,2
1,7,19,3,1,1,,,1,"Version 2.0",TRUE,TRUE,TRUE,2.89285714285714,3.42857142857143,3.14285714285714,2.71428571428571,2.28571428571429,1,2,,0,0,9,9,3,0,0,,0,1,9,-5,2,1,0,,0,0,9,9,3,0,2,,1,0,9,-9,2,0,1,,1,1,-9,-9,3,1,1,2,0,0,9,9,3,2,1,2,1,0,9,-9,2,1,0,2,0,1,9,-9,2,1,0,2,1,0,9,9,3,0,2,1,1,1,9,9,3
1,8,19,1,2,1,,,1,"Version 2.0",TRUE,TRUE,TRUE,1.75,1.28571428571429,2.71428571428571,2.14285714285714,0.857142857142857,2,0,,0,0,2,2,3,2,2,,0,0,2,2,3,2,2,,1,0,4,2,2,2,2,,1,1,5,5,3,2,2,,1,0,4,2,2,2,2,1,0,1,2,1,2,2,0,1,1,0,1,2,1,0,2,2,0,0,9,9,3,0,1,2,1,1,4,4,3,1,0,2,1,1,1,1,3
1,9,18,3,2,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,2.92857142857143,3.14285714285714,2.85714285714286,2.57142857142857,3.14285714285714,0,0,2,0,0,9,9,3,1,0,2,0,1,-9,9,1,1,2,1,1,0,9,-9,2,2,0,1,0,0,9,9,3,1,1,2,1,0,9,-9,2,1,0,,1,0,9,-9,2,0,1,,0,0,9,9,3,2,0,,1,0,9,-9,2,0,0,,1,0,9,-9,2,0,0,,0,0,9,9,3
1,10,21,3,1,1,,,2,"Version 2.0",TRUE,TRUE,TRUE,2.67857142857143,3,3.14285714285714,3.28571428571429,1.28571428571429,2,1,2,1,1,-9,-9,3,1,2,2,1,1,-9,-9,3,2,2,2,1,0,-9,9,1,1,1,2,0,0,9,9,3,0,0,2,1,0,-9,9,1,0,1,,0,0,9,9,3,1,0,,0,0,9,9,3,2,0,,0,0,9,9,3,0,0,,0,0,9,9,3,1,1,,0,0,9,9,3
