"session","id","id_case","stage","role","age","ses","sex_female","faculty_player","iri_fs","iri_ec","iri_pt","iri_pd","target","judgement","decision_target","decision_other","faculty_target","faculty_other","faculty_victim","group_target","group_other","n_match","obs_group","source_row_number","role_label","target_label","N1_faculty","N2_faculty","N1_decision","N2_decision","N1_faculty_label","N2_faculty_label","faculty_player_label","decision_target_label","decision_other_label","decision_pattern","victim_N1_group","victim_N2_group","bystander_victim_group","bystander_N1_group","bystander_N2_group","N1_N2_same_faculty","N1_N2_same_faculty_binary","faculty_player_factor"
"1","1","1s6",6,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,1,2,0,1,2,0,0,,11,"victim","N1",2,0,0,1,"Engineering","Control","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s6",6,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,-9,1,0,0,2,1,0,2,0,,12,"victim","N2",2,0,0,1,"Engineering","Control","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s7",7,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,-9,1,0,2,1,1,2,1,0,,13,"victim","N1",2,1,1,0,"Engineering","Humanities","Humanities","accept","reject","target_accept_other_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","1","1s7",7,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,1,1,2,1,1,2,0,,14,"victim","N2",2,1,1,0,"Engineering","Humanities","Humanities","reject","accept","target_reject_other_accept","outgroup","ingroup",,,,"different",0,"Humanities"
"1","1","1s8",8,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,0,1,0,2,0,1,2,0,0,,15,"victim","N1",2,0,1,0,"Engineering","Control","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s8",8,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,0,0,1,0,2,1,0,2,0,,16,"victim","N2",2,0,1,0,"Engineering","Control","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s9",9,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,1,0,1,0,2,1,0,2,0,,17,"victim","N1",0,2,0,1,"Control","Engineering","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s9",9,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,-9,1,0,2,0,1,2,0,0,,18,"victim","N2",0,2,0,1,"Control","Engineering","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","1","1s10",10,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,1,9,0,0,2,2,1,2,2,1,,19,"victim","N1",2,2,0,0,"Engineering","Engineering","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"same",1,"Humanities"
"1","1","1s10",10,1,22,4,0,1,1.42857142857143,0.857142857142857,1.28571428571429,1.42857142857143,2,9,0,0,2,2,1,2,2,1,,20,"victim","N2",2,2,0,0,"Engineering","Engineering","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"same",1,"Humanities"
"1","2","2s6",6,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,1,-5,0,1,0,0,1,0,0,1,,31,"victim","N1",0,0,0,1,"Control","Control","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"same",1,"Humanities"
"1","2","2s6",6,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,-5,1,0,0,0,1,0,0,1,,32,"victim","N2",0,0,0,1,"Control","Control","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"same",1,"Humanities"
"1","2","2s7",7,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,1,-9,0,0,0,2,1,0,2,0,,33,"victim","N1",0,2,0,0,"Control","Engineering","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","2","2s7",7,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,-9,0,0,2,0,1,2,0,0,,34,"victim","N2",0,2,0,0,"Control","Engineering","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","2","2s8",8,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,1,9,1,0,1,1,1,1,1,1,,35,"victim","N1",1,1,1,0,"Humanities","Humanities","Humanities","accept","reject","target_accept_other_reject","ingroup","ingroup",,,,"same",1,"Humanities"
"1","2","2s8",8,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,9,0,1,1,1,1,1,1,1,,36,"victim","N2",1,1,1,0,"Humanities","Humanities","Humanities","reject","accept","target_reject_other_accept","ingroup","ingroup",,,,"same",1,"Humanities"
"1","2","2s9",9,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,1,1,0,1,0,1,1,0,1,0,,37,"victim","N1",0,1,0,1,"Control","Humanities","Humanities","reject","accept","target_reject_other_accept","outgroup","ingroup",,,,"different",0,"Humanities"
"1","2","2s9",9,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,-4,1,0,1,0,1,1,0,0,,38,"victim","N2",0,1,0,1,"Control","Humanities","Humanities","accept","reject","target_accept_other_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","2","2s10",10,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,1,5,0,0,2,1,1,2,1,0,,39,"victim","N1",2,1,0,0,"Engineering","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","2","2s10",10,1,18,2,1,1,2.57142857142857,2.71428571428571,2.71428571428571,1.71428571428571,2,5,0,0,1,2,1,1,2,0,,40,"victim","N2",2,1,0,0,"Engineering","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","3","3s1",1,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,1,5,0,1,1,1,1,1,1,1,,41,"victim","N1",1,1,0,1,"Humanities","Humanities","Humanities","reject","accept","target_reject_other_accept","ingroup","ingroup",,,,"same",1,"Humanities"
"1","3","3s1",1,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,2,-5,1,0,1,1,1,1,1,1,,42,"victim","N2",1,1,0,1,"Humanities","Humanities","Humanities","accept","reject","target_accept_other_reject","ingroup","ingroup",,,,"same",1,"Humanities"
"1","3","3s2",2,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,1,0,1,1,2,2,1,2,2,1,,43,"victim","N1",2,2,1,1,"Engineering","Engineering","Humanities","accept","accept","both_accept","outgroup","outgroup",,,,"same",1,"Humanities"
"1","3","3s2",2,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,2,0,1,1,2,2,1,2,2,1,,44,"victim","N2",2,2,1,1,"Engineering","Engineering","Humanities","accept","accept","both_accept","outgroup","outgroup",,,,"same",1,"Humanities"
"1","3","3s3",3,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,1,9,0,1,2,0,1,2,0,0,,45,"victim","N1",2,0,0,1,"Engineering","Control","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","3","3s3",3,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,2,-9,1,0,0,2,1,0,2,0,,46,"victim","N2",2,0,0,1,"Engineering","Control","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","3","3s4",4,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,1,-9,1,0,2,0,1,2,0,0,,47,"victim","N1",2,0,1,0,"Engineering","Control","Humanities","accept","reject","target_accept_other_reject","outgroup","outgroup",,,,"different",0,"Humanities"
"1","3","3s4",4,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,2,9,0,1,0,2,1,0,2,0,,48,"victim","N2",2,0,1,0,"Engineering","Control","Humanities","reject","accept","target_reject_other_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","3","3s5",5,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,1,9,0,0,1,2,1,1,2,0,,49,"victim","N1",1,2,0,0,"Humanities","Engineering","Humanities","reject","reject","both_reject","ingroup","outgroup",,,,"different",0,"Humanities"
"1","3","3s5",5,1,18,3,1,1,3.71428571428571,2,0.857142857142857,2.28571428571429,2,9,0,0,2,1,1,2,1,0,,50,"victim","N2",1,2,0,0,"Humanities","Engineering","Humanities","reject","reject","both_reject","ingroup","outgroup",,,,"different",0,"Humanities"
"1","4","4s1",1,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,1,-9,1,1,2,0,1,2,0,0,,61,"victim","N1",2,0,1,1,"Engineering","Control","Humanities","accept","accept","both_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","4","4s1",1,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,-9,1,1,0,2,1,0,2,0,,62,"victim","N2",2,0,1,1,"Engineering","Control","Humanities","accept","accept","both_accept","outgroup","outgroup",,,,"different",0,"Humanities"
"1","4","4s2",2,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,1,9,0,0,0,0,1,0,0,1,,63,"victim","N1",0,0,0,0,"Control","Control","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"same",1,"Humanities"
"1","4","4s2",2,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,9,0,0,0,0,1,0,0,1,,64,"victim","N2",0,0,0,0,"Control","Control","Humanities","reject","reject","both_reject","outgroup","outgroup",,,,"same",1,"Humanities"
"1","4","4s3",3,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,1,9,0,0,2,1,1,2,1,0,,65,"victim","N1",2,1,0,0,"Engineering","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","4","4s3",3,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,9,0,0,1,2,1,1,2,0,,66,"victim","N2",2,1,0,0,"Engineering","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","4","4s4",4,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,1,9,0,0,0,1,1,0,1,0,,67,"victim","N1",0,1,0,0,"Control","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","4","4s4",4,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,9,0,0,1,0,1,1,0,0,,68,"victim","N2",0,1,0,0,"Control","Humanities","Humanities","reject","reject","both_reject","outgroup","ingroup",,,,"different",0,"Humanities"
"1","4","4s5",5,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,1,9,0,1,1,2,1,1,2,0,,69,"victim","N1",1,2,0,1,"Humanities","Engineering","Humanities","reject","accept","target_reject_other_accept","ingroup","outgroup",,,,"different",0,"Humanities"
"1","4","4s5",5,1,45,2,1,1,2.28571428571429,3.71428571428571,2.85714285714286,2.28571428571429,2,-9,1,0,2,1,1,2,1,0,,70,"victim","N2",1,2,0,1,"Humanities","Engineering","Humanities","accept","reject","target_accept_other_reject","ingroup","outgroup",,,,"different",0,"Humanities"
