"variable","missing_n","missing_pct"
"session",0,0
"id",0,0
"id_case",0,0
"stage",0,0
"role",0,0
"age",0,0
"ses",0,0
"sex_female",20,0.00411522633744856
"faculty_player",0,0
"iri_fs",0,0
"iri_ec",0,0
"iri_pt",0,0
"iri_pd",0,0
"target",0,0
"judgement",0,0
"decision_target",0,0
"decision_other",0,0
"faculty_target",0,0
"faculty_other",0,0
"faculty_victim",0,0
"group_target",0,0
"group_other",0,0
"n_match",0,0
"obs_group",2430,0.5
"source_row_number",0,0
"role_label",0,0
"target_code_label",0,0
"target_faculty",0,0
"other_faculty",0,0
"target_faculty_label",0,0
"other_faculty_label",0,0
"faculty_player_label",0,0
"accept_target",0,0
"accept_other",0,0
"accept_target_label",0,0
"accept_other_label",0,0
"decision_target_label",0,0
"decision_other_label",0,0
"decision_pattern",0,0
"victim_target_group",0,0
"victim_other_group",0,0
"bystander_victim_group",0,0
"bystander_target_group",0,0
"bystander_other_group",0,0
"target_other_same_faculty",0,0
"target_other_same_faculty_binary",0,0
"faculty_player_factor",0,0
