"hypothesis","role","formula_rhs","theoretical_focus","random_effects_primary","random_effects_sensitivity"
"H1","Victim","iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Empathy dimensions with the common accept_target x accept_other adjustment and sociodemographics.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H1","Bystander","iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Empathy dimensions with the common accept_target x accept_other adjustment and sociodemographics.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H2","Victim","victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Victim-side ingroup/outgroup structure with the allowed target x other relational interaction and the common accept_target x accept_other adjustment.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H2","Bystander","bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Bystander-side relational structure with explicit bystander-victim, bystander-target, bystander-other, target/other context terms, and the common accept_target x accept_other adjustment.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H3","Victim","iri_fs + iri_ec + iri_pt + iri_pd + victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:victim_target_group + iri_fs:victim_other_group + iri_ec:victim_target_group + iri_ec:victim_other_group + iri_pt:victim_target_group + iri_pt:victim_other_group + iri_pd:victim_target_group + iri_pd:victim_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Empathy plus victim-side relational structure, including empathy x victim-target and empathy x victim-other interactions, with the common accept_target x accept_other adjustment.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H3","Bystander","iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_target_group + iri_fs:bystander_other_group + iri_ec:bystander_victim_group + iri_ec:bystander_target_group + iri_ec:bystander_other_group + iri_pt:bystander_victim_group + iri_pt:bystander_target_group + iri_pt:bystander_other_group + iri_pd:bystander_victim_group + iri_pd:bystander_target_group + iri_pd:bystander_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Empathy plus bystander-side relational structure, including empathy x bystander-victim and empathy x bystander-target/other interactions, with the common accept_target x accept_other adjustment.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H4","Victim","accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Target and other negotiator acceptance terms with their interaction, plus sociodemographics.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H4","Bystander","accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Target and other negotiator acceptance terms with their interaction, plus sociodemographics.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H5","Victim","iri_fs + iri_ec + iri_pt + iri_pd + victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:victim_target_group + iri_fs:victim_other_group + iri_ec:victim_target_group + iri_ec:victim_other_group + iri_pt:victim_target_group + iri_pt:victim_other_group + iri_pd:victim_target_group + iri_pd:victim_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Integrated model with empathy, victim-side relations, empathy x group interactions, acceptance terms, and the victim-side target/other interaction.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
"H5","Bystander","iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_target_group + iri_fs:bystander_other_group + iri_ec:bystander_victim_group + iri_ec:bystander_target_group + iri_ec:bystander_other_group + iri_pt:bystander_victim_group + iri_pt:bystander_target_group + iri_pt:bystander_other_group + iri_pd:bystander_victim_group + iri_pd:bystander_target_group + iri_pd:bystander_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","Integrated model with empathy, bystander-side relations, empathy x group interactions, acceptance terms, and role-specific target/other relational interactions.","Two-sided Tobit with factor(session) and cluster-robust standard errors by participant id.","The production branch keeps factor(session) plus participant-cluster robust inference; a fully mixed Tobit with random participant and session intercepts is documented as a methodological limitation rather than silently substituted."
