"hypothesis","role","support"
"H1","Bystander","None below p < 0.10"
"H1","Victim","Empathy: Perspective taking**"
"H2","Bystander","Bystander-target outgroup vs ingroup+; Victim-target outgroup vs ingroup*; Victim-other outgroup vs ingroup+; Bystander-target outgroup vs ingroup x Bystander-other outgroup vs ingroup+; Victim-target outgroup vs ingroup x Victim-other outgroup vs ingroup+"
"H2","Victim","None below p < 0.10"
"H3","Bystander","Empathy: Empathic concern+; Empathy: Personal distress+; Victim-target outgroup vs ingroup*; Victim-other outgroup vs ingroup+; Bystander-target outgroup vs ingroup x Bystander-other outgroup vs ingroup+; Victim-target outgroup vs ingroup x Victim-other outgroup vs ingroup+; Empathy: Fantasy x Bystander-victim outgroup vs ingroup+; Empathy: Personal distress x Bystander-victim outgroup vs ingroup*"
"H3","Victim","Empathy: Fantasy*; Empathy: Perspective taking+"
"H4","Bystander","Target accepted***; Other negotiator accepted***; Target accepted x Other accepted***"
"H4","Victim","Target accepted***; Other negotiator accepted***; Target accepted x Other accepted***"
"H5","Bystander","Victim-target outgroup vs ingroup*; Victim-other outgroup vs ingroup+; Target accepted***; Other negotiator accepted***; Victim-target outgroup vs ingroup x Victim-other outgroup vs ingroup*; Empathy: Fantasy x Bystander-victim outgroup vs ingroup*; Target accepted x Other accepted***"
"H5","Victim","Empathy: Fantasy*; Victim-target outgroup vs ingroup*; Target accepted***; Other negotiator accepted***; Empathy: Fantasy x Victim-other outgroup vs ingroup+; Target accepted x Other accepted***"
