"hypothesis","role","variant","model_family","session_handling","dependence_adjustment","formula","n_obs","n_participants","n_sessions","n_cases","lower_censored_n","upper_censored_n","logLik","AIC","BIC","sigma","singular","dropped_columns","dropped_column_names","shapiro_p","convergence_messages"
"H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-6254.39010468642,12558.7802093728,12703.5682798516,10.26445528467,NA,0,NA,1.55144436631056e-28,NA
"H1","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-6115.27836025303,12280.5567205061,12425.3447909848,11.5635272035226,NA,0,NA,1.15585621723484e-32,NA
"H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_N1_group + bystander_N2_group + victim_N1_group + victim_N2_group + bystander_N1_group:bystander_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-6249.71293571335,12557.4258714267,12725.3800331821,10.2418368294806,NA,0,NA,5.83357330364808e-28,NA
"H2","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ victim_N1_group + victim_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-6123.82252943473,12297.6450588695,12442.4331293482,11.6070145605644,NA,0,NA,3.91756536633808e-34,NA
"H3","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_N1_group + bystander_N2_group + victim_N1_group + victim_N2_group + bystander_N1_group:bystander_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_N1_group + iri_fs:bystander_N2_group + iri_ec:bystander_victim_group + iri_ec:bystander_N1_group + iri_ec:bystander_N2_group + iri_pt:bystander_victim_group +      iri_pt:bystander_N1_group + iri_pt:bystander_N2_group + iri_pd:bystander_victim_group + iri_pd:bystander_N1_group + iri_pd:bystander_N2_group + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-6239.57661227461,12569.1532245492,12829.771751411,10.1926735328391,NA,0,NA,2.65533909962542e-26,NA
"H3","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + victim_N1_group + victim_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + iri_fs:victim_N1_group + iri_fs:victim_N2_group + iri_ec:victim_N1_group + iri_ec:victim_N2_group + iri_pt:victim_N1_group + iri_pt:victim_N2_group + iri_pd:victim_N1_group + iri_pd:victim_N2_group + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-6111.01727921499,12296.03455843,12510.3209027386,11.5408952245099,NA,0,NA,2.52265978404216e-31,NA
"H4","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ decision_target * decision_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5506.15595346427,11060.3119069285,11199.3084545882,6.91679028006472,NA,0,NA,6.97499658874471e-18,NA
"H4","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ decision_target * decision_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5349.95064361461,10747.9012872292,10886.8978348888,7.62623241117962,NA,0,NA,4.61968241015223e-25,NA
"H5","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_N1_group + bystander_N2_group + victim_N1_group + victim_N2_group + bystander_N1_group:bystander_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_N1_group + iri_fs:bystander_N2_group + iri_ec:bystander_victim_group + iri_ec:bystander_N1_group + iri_ec:bystander_N2_group + iri_pt:bystander_victim_group +      iri_pt:bystander_N1_group + iri_pt:bystander_N2_group + iri_pd:bystander_victim_group + iri_pd:bystander_N1_group + iri_pd:bystander_N2_group + decision_target * decision_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5492.10965135612,11080.2193027122,11358.2123980315,6.87551758336937,NA,0,NA,9.53579273733259e-16,NA
"H5","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + victim_N1_group + victim_N2_group + victim_N1_group:victim_N2_group + N1_N2_same_faculty + iri_fs:victim_N1_group + iri_fs:victim_N2_group + iri_ec:victim_N1_group + iri_ec:victim_N2_group + iri_pt:victim_N1_group + iri_pt:victim_N2_group + iri_pd:victim_N1_group + iri_pd:victim_N2_group + decision_target * decision_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5334.62757084854,10749.2551416971,10980.9160544631,7.56992425186704,NA,0,NA,2.22491756096718e-23,NA
