"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
1,1,1,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,1,"control",0,1,0,,1,1,-9,18,9
1,1,2,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,1,"control",0,1,0,,0,1,9,0,-9
1,2,1,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,1,2,"ingroup",0,0,1,0,0,3,9,0,-9
1,2,2,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,1,2,"ingroup",0,0,1,0,1,3,9,0,-9
1,3,1,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,2,"control",0,1,1,,1,1,-9,18,9
1,3,2,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,2,"control",0,1,1,,0,1,9,0,-9
1,4,1,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,2,"control",0,1,1,,0,3,9,0,-9
1,4,2,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,2,"control",0,1,1,,1,3,9,0,-9
1,5,1,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,2,"outgroup",1,0,1,1,0,3,9,0,-9
1,5,2,"observer",1,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,2,"outgroup",1,0,1,1,0,3,9,0,-9
1,6,1,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,0,2,9,0,-9
1,6,2,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,1,"control",0,1,0,,1,2,-9,18,9
1,7,1,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,1,1,-9,18,9
1,7,2,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,1,1,"ingroup",0,0,0,1,0,1,9,0,-9
1,8,1,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,1,3,0,9,0
1,8,2,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,1,"control",0,1,0,,0,3,0,9,0
1,9,1,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,3,1,"control",0,1,0,,0,2,1,8,-1
1,9,2,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
1,10,1,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,0,3,9,0,-9
1,10,2,"victim",0,22,4,2,1,1,0,2,FALSE,FALSE,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,2,1,"outgroup",1,0,0,0,0,3,9,0,-9
2,1,1,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,2,1,"outgroup",1,0,0,0,0,3,5,4,-5
2,1,2,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,2,1,"outgroup",1,0,0,0,1,3,5,4,-5
2,2,1,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,1,2,"ingroup",0,0,1,0,0,3,9,0,-9
2,2,2,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,2,2,"outgroup",1,0,1,1,0,3,9,0,-9
2,3,1,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,3,1,"control",0,1,0,,1,3,-3,12,3
2,3,2,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,2,1,"outgroup",1,0,0,0,1,3,-3,12,3
2,4,1,"observer",1,18,2,1,0,1,0,2,FALSE,FALSE,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,3,1,"control",0,1,0,,1,2,4,5,-4
