"id","commitment","age","economic_status","sex","faculty_player","ac1","ac2","FS1","EC2","PT3","EC4","FS5","PD6","FS7","PT8","EC9","PD10","PT11","FS12","PD13","EC14","PT15","FS16","EC17","PD18","EC19","FS20","PT21","PD22","PT23","EC24","FS25","PT26","PD27","EC28","treatment","faculty_neg_1_s1","faculty_neg_2_s1","faculty_victim_s1","decision_neg1_s1","decision_neg2_s1","judgement_compare_s1","judgement_n1_s1","judgement_n2_s1","faculty_neg_1_s2","faculty_neg_2_s2","faculty_victim_s2","decision_neg1_s2","decision_neg2_s2","judgement_compare_s2","judgement_n1_s2","judgement_n2_s2","faculty_neg_1_s3","faculty_neg_2_s3","faculty_victim_s3","decision_neg1_s3","decision_neg2_s3","judgement_compare_s3","judgement_n1_s3","judgement_n2_s3","faculty_neg_1_s4","faculty_neg_2_s4","faculty_victim_s4","decision_neg1_s4","decision_neg2_s4","judgement_compare_s4","judgement_n1_s4","judgement_n2_s4","faculty_neg_1_s5","faculty_neg_2_s5","faculty_victim_s5","decision_neg1_s5","decision_neg2_s5","judgement_compare_s5","judgement_n1_s5","judgement_n2_s5","faculty_neg_1_s6","faculty_neg_2_s6","faculty_victim_s6","decision_neg1_s6","decision_neg2_s6","judgement_compare_s6","judgement_n1_s6","judgement_n2_s6","faculty_neg_1_s7","faculty_neg_2_s7","faculty_victim_s7","decision_neg1_s7","decision_neg2_s7","judgement_compare_s7","judgement_n1_s7","judgement_n2_s7","faculty_neg_1_s8","faculty_neg_2_s8","faculty_victim_s8","decision_neg1_s8","decision_neg2_s8","judgement_compare_s8","judgement_n1_s8","judgement_n2_s8","faculty_neg_1_s9","faculty_neg_2_s9","faculty_victim_s9","decision_neg1_s9","decision_neg2_s9","judgement_compare_s9","judgement_n1_s9","judgement_n2_s9","faculty_neg_1_s10","faculty_neg_2_s10","faculty_victim_s10","decision_neg1_s10","decision_neg2_s10","judgement_compare_s10","judgement_n1_s10","judgement_n2_s10","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","sex_label","faculty_player_label","treatment_label","attention_pass","analysis_include"
1,1,22,4,2,1,1,0,2,2,1,1,0,2,2,2,2,2,1,2,3,0,2,2,0,1,3,0,1,0,1,0,0,1,0,2,2,3,3,1,1,0,1,-9,9,1,1,2,0,1,3,9,9,3,3,2,1,0,1,-9,9,3,3,2,0,1,3,9,9,2,2,2,0,0,3,9,9,2,3,1,0,1,2,9,-9,2,1,1,1,0,1,-9,9,2,3,1,1,0,3,0,0,3,2,1,0,1,2,1,-9,2,2,1,0,0,3,9,9,1.25,-2.0597736436602,1.14285714285714,1.25,1.28571428571429,1.33333333333333,"Man","Humanities","Observer first",FALSE,FALSE
2,1,18,2,1,1,0,0,4,4,2,3,3,1,2,2,2,2,2,2,1,3,3,2,1,2,3,2,2,3,1,2,4,4,2,4,2,2,2,1,0,1,3,5,5,1,2,2,0,0,3,9,9,3,2,1,1,1,3,-3,-3,3,2,1,1,0,2,4,-5,2,3,1,0,1,2,3,-5,3,3,1,0,1,3,-5,-5,3,2,1,0,0,3,-9,-9,1,1,1,1,0,3,9,9,3,1,1,0,1,2,1,-4,2,1,1,0,0,3,5,5,2.42857142857143,0.517518127969626,2.71428571428571,2.75,2.28571428571429,1.83333333333333,"Woman","Humanities","Observer first",FALSE,FALSE
3,1,18,3,1,1,1,1,4,1,0,3,4,4,2,1,2,4,4,4,1,0,0,4,4,3,2,3,1,2,4,1,0,4,0,0,1,1,1,1,0,1,2,5,-5,2,2,1,1,1,3,0,0,2,3,1,0,1,2,9,-9,2,3,1,1,0,1,-9,9,1,2,1,0,0,3,9,9,3,2,1,0,1,3,9,9,3,3,2,0,1,3,9,9,1,3,1,0,0,3,9,9,2,1,2,0,1,2,9,-9,2,3,1,1,1,3,9,9,2.21428571428571,0.0489196240369302,3,1.625,2,2.33333333333333,"Woman","Humanities","Victim first",TRUE,TRUE
4,1,45,2,1,1,1,1,1,4,4,4,3,3,1,2,4,3,3,4,4,4,2,2,4,4,1,3,3,3,3,0,3,2,1,3,1,2,3,1,1,1,3,-9,-9,3,3,1,0,0,3,9,9,2,1,1,0,0,3,9,9,3,1,1,0,0,3,9,9,1,2,1,0,1,2,9,-9,1,3,2,0,0,3,9,9,1,3,1,0,0,3,9,9,1,1,1,0,0,3,9,9,2,2,1,0,1,2,9,-9,1,2,2,1,0,1,-9,9,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,"Woman","Humanities","Victim first",TRUE,TRUE
5,1,28,3,2,1,1,1,2,4,3,3,0,1,4,1,3,2,3,3,3,3,3,2,3,4,2,2,3,4,2,1,2,1,1,4,2,3,2,2,0,1,3,-1,-1,3,3,2,1,0,1,-2,1,1,3,1,0,0,3,4,4,3,2,2,0,0,3,3,3,2,3,1,0,1,3,-4,-4,3,3,1,1,0,1,-3,3,2,1,1,0,0,3,5,5,2,1,1,1,1,3,-2,-2,2,3,1,1,0,1,-5,4,2,1,1,0,1,2,3,-3,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,"Man","Humanities","Observer first",TRUE,TRUE
6,1,19,3,1,1,1,1,4,2,1,1,1,1,4,3,3,3,3,4,2,3,2,0,3,4,2,3,4,4,2,3,4,1,0,4,2,3,2,2,0,1,3,-5,-5,2,3,1,1,1,3,5,5,3,2,1,0,0,3,9,9,1,3,2,0,1,1,-5,9,3,1,1,0,0,3,9,9,1,3,1,1,1,3,-9,-9,2,2,1,0,1,2,9,-9,1,2,1,0,1,2,9,-9,1,1,1,0,0,3,9,9,2,2,1,0,1,2,9,-9,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,"Woman","Humanities","Observer first",TRUE,TRUE
7,1,19,3,1,1,1,1,4,4,2,1,4,1,0,4,4,4,3,4,3,1,4,4,3,4,1,4,3,4,4,2,1,4,2,2,1,1,2,1,0,0,3,9,9,3,3,1,0,1,2,9,-5,1,3,1,0,0,3,9,9,3,2,1,1,0,2,9,-9,3,1,1,1,1,3,-9,-9,1,1,2,0,0,3,9,9,2,1,2,1,0,2,9,-9,1,3,2,0,1,2,9,-9,1,3,2,1,0,3,9,9,3,2,1,1,1,3,9,9,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,"Woman","Humanities","Victim first",TRUE,TRUE
8,1,19,1,2,1,1,1,0,2,3,4,1,1,2,2,3,1,4,3,0,2,4,1,2,4,2,3,2,1,2,0,0,0,0,0,1,2,3,1,0,0,3,2,2,2,2,1,0,0,3,2,2,2,2,1,1,0,2,4,2,2,2,1,1,1,3,5,5,2,2,1,1,0,2,4,2,2,2,1,0,1,2,2,1,2,3,1,1,0,1,1,2,3,2,2,0,0,3,9,9,3,1,2,1,1,3,4,4,1,3,2,1,1,3,1,1,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,"Man","Humanities","Victim first",TRUE,TRUE
9,1,18,3,2,1,0,1,3,1,3,2,3,4,3,3,3,4,2,3,3,3,3,4,4,4,3,4,2,3,3,3,1,3,1,4,2,3,3,2,0,0,3,9,9,1,3,2,0,1,1,-9,9,1,2,1,1,0,2,9,-9,2,3,1,0,0,3,9,9,1,1,2,1,0,2,9,-9,1,3,1,1,0,2,9,-9,3,1,1,0,0,3,9,9,2,3,1,1,0,2,9,-9,3,3,1,1,0,2,9,-9,3,3,1,0,0,3,9,9,2.92857142857143,1.61091463714592,3,2.875,2.71428571428571,3.16666666666667,"Man","Humanities","Observer first",FALSE,FALSE
10,1,21,3,1,1,1,1,3,4,4,3,3,1,3,4,3,3,3,3,2,3,4,3,2,4,1,2,4,3,3,0,1,3,0,3,2,2,1,2,1,1,3,-9,-9,1,2,2,1,1,3,-9,-9,2,2,2,1,0,1,-9,9,1,1,2,0,0,3,9,9,3,3,2,1,0,1,-9,9,3,1,1,0,0,3,9,9,1,3,1,0,0,3,9,9,2,3,1,0,0,3,9,9,3,3,1,0,0,3,9,9,1,1,1,0,0,3,9,9,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,"Woman","Humanities","Observer first",TRUE,TRUE
