"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach"
"(Intercept)",-12.9672044500912,7.53831671204712,NA,-1.72017241320839,0.0854011059980315,-27.7423052057036,1.80789630552112,"Intercept","CLAD"
"iri_total",-1.61101630378511,1.55117089249274,NA,-1.03858079827439,0.298999739892114,-4.65131125307089,1.42927864550066,"Empathy composite (average)","CLAD"
"perp_outgroup",-1.44284752589495,3.94800062743872,NA,-0.365462841081412,0.714765939840979,-9.18092875567485,6.29523370388494,"Outgroup perpetrator (ref = ingroup)","CLAD"
"perp_control",-4.72200506870339,5.43481664964632,NA,-0.868843490609877,0.38493274163064,-15.3742457020102,5.9302355646034,"Control label hidden (ref = ingroup)","CLAD"
"victim_outgroup",-0.327992262948539,0.531749743885417,NA,-0.616816964596818,0.537355460980251,-1.37022176096396,0.714237235066879,"Victim outgroup (ref = ingroup)","CLAD"
"role_observer",1.09303846635747,0.668595349063923,NA,1.63482810325827,0.102085087665592,-0.217408417807814,2.40348535052276,"Observer role (ref = victim)","CLAD"
"participant_engineering",0.0659293831835649,0.495809923126952,NA,0.132973101400965,0.89421465353129,-0.90585806614526,1.03771683251239,"Engineering participant (ref = humanities)","CLAD"
"sex_man",-0.802640891998233,0.705910023065443,NA,-1.13703002616783,0.255525733708895,-2.1862245372065,0.580942753210036,"Man (ref = woman)","CLAD"
"age",0.666939690118261,0.286421807266577,NA,2.32852273534302,0.0198843634432072,0.105552947875769,1.22832643236075,"Age","CLAD"
"economic_status",-0.551198657231133,0.304409150516628,NA,-1.81071645282563,0.0701847547018389,-1.14784059224372,0.0454432777814582,"Socioeconomic status","CLAD"
"factor(negotiator_slot)2",0.0932224463550565,0.428949561467349,NA,0.217327291432964,0.827953289833021,-0.747518694120948,0.933963586831061,"Negotiator 2 (ref = negotiator 1)","CLAD"
"iri_total:perp_outgroup",0.624357837889809,1.89078162617402,NA,0.330211500496328,0.741240157635541,-3.08157414941127,4.33028982519089,"Empathy x outgroup perpetrator","CLAD"
"iri_total:perp_control",2.44289945966425,2.70393563364066,NA,0.903460655376273,0.366281460690212,-2.85681438227144,7.74261330159993,"Empathy x control label hidden","CLAD"
