"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",7.1169171700516,2.32268832454581,1.45730005243427,3.06408616896254,0.0021833601244187,2.56444805394181,11.6693862861614,"Intercept","Intercept","Tobit","Cluster-robust standard errors by participant id","**","0.002**"
"iri_total",0.364128357687563,0.557259226736163,0.364473012564323,0.653427238558692,0.513480883313573,-0.728099726715316,1.45635644209044,"Empathy composite (average)","Emp","Tobit","Cluster-robust standard errors by participant id","","0.513"
"judged_outgroup",-0.207091780993961,0.393948875943305,0.396022070822715,-0.525681867978638,0.599109264011862,-0.979231577842838,0.565048015854916,"Judged negotiator outgroup (ref = ingroup)","JN Out","Tobit","Cluster-robust standard errors by participant id","","0.599"
"judged_control",0.334932897307972,0.397657219142757,0.388107548481535,0.842265351123258,0.399639440991101,-0.444475252211831,1.11434104682778,"Judged negotiator control label hidden (ref = ingroup)","JN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.400"
"counterpart_outgroup",-0.368084816888085,0.372757544984549,0.395539756520246,-0.987464430541151,0.32341501191407,-1.0986896050578,0.362519971281631,"Counterpart negotiator outgroup (ref = ingroup)","CN Out","Tobit","Cluster-robust standard errors by participant id","","0.323"
"counterpart_control",-0.378562681984831,0.401552286293126,0.388291493425935,-0.942748167317089,0.345809729584205,-1.16560516311936,0.408479799149695,"Counterpart negotiator control label hidden (ref = ingroup)","CN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.346"
"decision_accept",-15.0138812943796,0.867288196653843,0.343547306215384,-17.3112943913061,3.86624785440634e-67,-16.7137661598211,-13.3139964289381,"Negotiator accepted harmful deal","Acc","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"participant_engineering",1.38388757793249,0.493455057379383,0.33578734756722,2.80448554987351,0.00503969465838964,0.416715665468895,2.35105949039608,"Engineering participant (ref = humanities)","Eng part.","Tobit","Cluster-robust standard errors by participant id","**","0.005**"
"sex_man",-0.0990461974388665,0.512097591753395,0.341377125322125,-0.193412738184801,0.846635740156781,-1.10275747727552,0.904665082397789,"Man (ref = woman)","Man","Tobit","Cluster-robust standard errors by participant id","","0.847"
"age",0.0442839643900481,0.100331493072892,0.0531667323664016,0.441376511340018,0.658940443943988,-0.15236576203282,0.240933690812916,"Age","Age","Tobit","Cluster-robust standard errors by participant id","","0.659"
"economic_status",0.260594090966618,0.247909455993346,0.152960777885689,1.05116640235624,0.293182170989201,-0.22530844278034,0.746496624713576,"Socioeconomic status","SES","Tobit","Cluster-robust standard errors by participant id","","0.293"
"factor(negotiator_slot)2",0.106484377772957,0.300664190007364,0.319108519016641,0.354163819011332,0.723216116772763,-0.482817434641477,0.695786190187391,"Negotiator 2 (ref = negotiator 1)","Slot 2","Tobit","Cluster-robust standard errors by participant id","","0.723"
"Log(scale)",2.00290455271484,0.0485624226637036,0.0210898286174101,41.2439174747318,0,1.90772220429398,2.0980869011357,"Scale variance (log)","Log(scale)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
