"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach"
"(Intercept)",-9.59194143354876,6.85764651735169,3.36732771269074,-1.39872205563214,0.161896347646993,-23.0329286075581,3.84904574046054,"Intercept","Tobit"
"iri_total",-1.66843201417211,2.33726731378704,1.16070084149698,-0.713838765609044,0.475326885604095,-6.24947594919471,2.91261192085049,"Empathy composite (average)","Tobit"
"perp_outgroup",-2.07683301951429,2.72495195505562,3.582449574927,-0.762153995288293,0.445968099661615,-7.41773885142331,3.26407281239473,"Outgroup perpetrator (ref = ingroup)","Tobit"
"perp_control",-2.6582667893857,3.34639296598173,3.59717840673173,-0.794367791352873,0.426981349070991,-9.21719700270988,3.90066342393849,"Control label hidden (ref = ingroup)","Tobit"
"victim_outgroup",0.278179822929016,0.910172609375449,0.801517383311655,0.305634140231818,0.759883223393846,-1.50575849144686,2.06211813730489,"Victim outgroup (ref = ingroup)","Tobit"
"role_observer",0.545185444642973,0.797630462970491,0.68067597308938,0.683506297656466,0.494286972123055,-1.01817026277919,2.10854115206514,"Observer role (ref = victim)","Tobit"
"participant_engineering",0.18816396081491,1.55603090626249,0.594996961705707,0.120925593481218,0.903749970257596,-2.86165661545958,3.2379845370894,"Engineering participant (ref = humanities)","Tobit"
"sex_man",-1.76456510053944,1.74413563730273,0.629144848421191,-1.01171323078307,0.311675187556542,-5.18307094965279,1.65394074857392,"Man (ref = woman)","Tobit"
"age",0.478043555276733,0.24114755416987,0.103504584127179,1.98236949540027,0.0474379011356911,0.00539434910378844,0.950692761449677,"Age","Tobit"
"economic_status",-0.247006452604093,0.706032817923191,0.279062562635099,-0.349851234012984,0.726450346556153,-1.63083077573355,1.13681787052536,"Socioeconomic status","Tobit"
"factor(negotiator_slot)2",0.124068427991558,0.458230285633364,0.564073741686349,0.27075562633332,0.786578990483002,-0.774062931849836,1.02219978783295,"Negotiator 2 (ref = negotiator 1)","Tobit"
"iri_total:perp_outgroup",0.884836674600527,1.24525365328624,1.57820523561325,0.710567419148247,0.477352338782046,-1.5558604858405,3.32553383504155,"Empathy x outgroup perpetrator","Tobit"
"iri_total:perp_control",1.57785657319257,1.58882788804792,1.57620445575375,0.993094711555681,0.320663800958979,-1.53624608738135,4.6919592337665,"Empathy x control label hidden","Tobit"
"Log(scale)",1.99340888524581,0.0956085809777971,0.034472514581105,20.849685926295,1.5342624423543e-96,1.80601606652933,2.18080170396229,"Scale variance (log)","Tobit"
