"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",-2.2702833948345,1.60743660313435,NA,-1.41236263402716,0.15784321277289,-5.42085913697783,0.880292347308828,"Baseline judgment","Base","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.158"
"iri_fs",0.0946318735549984,0.241962742833009,NA,0.391101011862429,0.695722572730936,-0.379615102397699,0.568878849507696,"Empathy: Fantasy scale","FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.696"
"iri_ec",-0.541517995416678,0.370664320533188,NA,-1.46093909075932,0.144032157616662,-1.26802006366173,0.184984072828371,"Empathy: Empathic concern","EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.144"
"iri_pt",0.380859387052785,0.32704068413714,NA,1.16456271505681,0.244196043492099,-0.26014035385601,1.02185912796158,"Empathy: Perspective taking","PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.244"
"iri_pd",0.0186038212080872,0.299936692127657,NA,0.0620258264372976,0.950542265071551,-0.569272095362121,0.606479737778295,"Empathy: Personal distress","PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.951"
"bystander_victim_groupOut",-0.350041065126985,0.285940443678964,NA,-1.22417472891659,0.220886320216178,-0.910484334737755,0.210402204483785,"Bystander-victim: Outgroup (ref = Ingroup)","B-V Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.221"
"bystander_N1_groupIn",0.653074618377718,0.396340122034693,NA,1.64776307537331,0.0994012989130299,-0.12375202081028,1.42990125756572,"Bystander-N1: Ingroup (ref = Control)","B-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.099+"
"bystander_N1_groupOut",0.406000407940818,0.392545924143195,NA,1.03427492930156,0.301007653778711,-0.363389603379845,1.17539041926148,"Bystander-N1: Outgroup (ref = Control)","B-N1 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.301"
"bystander_N2_groupIn",-0.76013332001713,0.394258774794009,NA,-1.92800609298875,0.0538543683109994,-1.53288051861339,0.0126138785791275,"Bystander-N2: Ingroup (ref = Control)","B-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.054+"
"bystander_N2_groupOut",-0.648225944217383,0.387231275472938,NA,-1.67400203773748,0.0941301988723319,-1.40719924414434,0.110747355709576,"Bystander-N2: Outgroup (ref = Control)","B-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.094+"
"victim_N1_groupIn",-0.171364645175005,0.34865071351343,NA,-0.491508086841774,0.62306713387663,-0.854720043661327,0.511990753311317,"Victim-N1: Ingroup (ref = Control)","V-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.623"
"victim_N2_groupIn",0.576293387037196,0.350497204506161,NA,1.64421678583478,0.100131430849467,-0.110681133794879,1.26326790786927,"Victim-N2: Ingroup (ref = Control)","V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.100"
"N1_N2_same_faculty",0.469137187206158,0.305303058972285,NA,1.5366278634265,0.124384465255535,-0.129256808379521,1.06753118279184,"N1 and N2 same faculty","SameFac","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.124"
"participant_engineering",0.494803842384745,0.369764128653421,NA,1.3381607463836,0.180844042009249,-0.22993384977596,1.21954153454545,"Engineering participant","Eng part.","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.181"
"sex_man",0.516084742360368,0.382982984033774,NA,1.34753961370476,0.177806504098885,-0.234561906345829,1.26673139106657,"Man participant","Man","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.178"
"age",0.171750023955547,0.0561940988643115,NA,3.05637117467195,0.00224033729409754,0.0616095901814967,0.281890457729598,"Age","Age","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","**","0.002**"
"economic_status",0.0891625722301517,0.170875087424813,NA,0.521799716821705,0.601809786868108,-0.245752599122482,0.424077743582786,"Economic status","SES","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.602"
