"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference"
"(Intercept)",-15.0974845717023,7.13598038233495,NA,-2.11568470802918,0.0343716320092941,-25.2764823979376,-9.076816819667,"Intercept","CLAD","Cluster bootstrap by participant id"
"iri_fs",-0.7386203931112,0.957843371589575,NA,-0.771128573855904,0.440630725450712,-0.845583942981786,1.09479005626211,"Empathy: Fantasy scale","CLAD","Cluster bootstrap by participant id"
"iri_ec",-1.30104861733399,0.815218234953739,NA,-1.59595131898371,0.110499662491192,-2.12529137853929,-0.0774207747422206,"Empathy: Empathic concern","CLAD","Cluster bootstrap by participant id"
"iri_pt",0.482355875794252,0.489215297811439,NA,0.985978725424423,0.324143552745955,-0.146470516432811,0.96722509353353,"Empathy: Perspective taking","CLAD","Cluster bootstrap by participant id"
"iri_pd",0.694521014392094,0.741467377103716,NA,0.936684520234724,0.348920861165943,-0.84372812095404,1.00836854272534,"Empathy: Personal distress","CLAD","Cluster bootstrap by participant id"
"case_hum_x_ing",-0.718345127302651,1.34889342229134,NA,-0.532544021218821,0.5943492612121,-2.80906050495884,0.46890460335199,"Case configuration: Humanities victim x Engineering negotiator","CLAD","Cluster bootstrap by participant id"
"case_hum_x_control",-0.471312020960198,1.05572845754245,NA,-0.446432998554695,0.655284500836442,-1.52336768665103,1.11701915827686,"Case configuration: Humanities victim x Control label hidden negotiator","CLAD","Cluster bootstrap by participant id"
"case_ing_x_hum",-0.156450413156324,1.05951617980818,NA,-0.147662127429379,0.882609421844262,-1.82623111883199,0.666568606532213,"Case configuration: Engineering victim x Humanities negotiator","CLAD","Cluster bootstrap by participant id"
"case_ing_x_ing",-0.468454341678039,1.16315492005253,NA,-0.402744581656313,0.687136133597503,-2.05708103069469,0.735070935099664,"Case configuration: Engineering victim x Engineering negotiator","CLAD","Cluster bootstrap by participant id"
"case_ing_x_control",0.0444739101921928,1.04080604795071,NA,0.0427302572652795,0.965916559780635,-1.5734600179734,0.787164970549322,"Case configuration: Engineering victim x Control label hidden negotiator","CLAD","Cluster bootstrap by participant id"
"role_observer",1.05596119977221,0.439389054170657,NA,2.4032487604074,0.0162501289738345,0.538925774255943,1.55943227704489,"Observer role (ref = victim)","CLAD","Cluster bootstrap by participant id"
"participant_engineering",0.174768222159208,1.45762146244891,NA,0.119899594415675,0.90456268576807,-1.05189587221319,2.21756564021513,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap by participant id"
"sex_man",0.162879379050192,0.7728400996809,NA,0.210754306249693,0.833078995942381,-1.18096446545703,0.763766282344081,"Man (ref = woman)","CLAD","Cluster bootstrap by participant id"
"age",0.605882899451005,0.269395700485412,NA,2.24904442928856,0.0245096695203934,0.370662332250033,0.928467753814233,"Age","CLAD","Cluster bootstrap by participant id"
"economic_status",0.00398803613231664,0.455863698122507,NA,0.0087483082086631,0.993019948981197,-0.423266149436972,0.659572088612693,"Socioeconomic status","CLAD","Cluster bootstrap by participant id"
"factor(negotiator_slot)2",0.273527164274764,0.197014505677315,NA,1.38836053383179,0.165027287740937,0.249352276184702,0.70385570879394,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap by participant id"
