"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",-1.09785736588943,1.77629978240774,NA,-0.618058605176039,0.53653670775154,-4.5794049394086,2.38369020762974,"Baseline judgment","Base","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.537"
"iri_fs",0.420408251293459,0.267852270199216,NA,1.56955269029745,0.116519212213866,-0.104582198297004,0.945398700883921,"Empathy: Fantasy scale","FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.117"
"iri_ec",-0.506209454005323,0.409193460662817,NA,-1.23709077164957,0.216053385418651,-1.30822863690444,0.295809728893798,"Empathy: Empathic concern","EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.216"
"iri_pt",0.863549090491363,0.361783365641332,NA,2.38692314932875,0.0169900424573353,0.154453693834352,1.57264448714837,"Empathy: Perspective taking","PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","*","0.017*"
"iri_pd",-0.126022439429949,0.331183746121614,NA,-0.380521208862924,0.703558556098124,-0.775142581828313,0.523097702968416,"Empathy: Personal distress","PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.704"
"victim_N1_groupIn",0.0756824119456742,0.351762399662485,NA,0.215152079978676,0.829648750593132,-0.613771891392797,0.765136715284146,"Victim-N1: Ingroup (ref = Control)","V-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.830"
"victim_N1_groupOut",0.362743631543989,0.354906496750614,NA,1.02208225226962,0.306741972339,-0.332873102087214,1.05836036517519,"Victim-N1: Outgroup (ref = Control)","V-N1 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.307"
"victim_N2_groupIn",0.149078137032161,0.350342727407951,NA,0.42552085534965,0.670457021699277,-0.537593608687423,0.835749882751744,"Victim-N2: Ingroup (ref = Control)","V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.670"
"victim_N2_groupOut",-0.118580821152546,0.349600064613098,NA,-0.339189929166002,0.734466655424701,-0.803796947794219,0.566635305489126,"Victim-N2: Outgroup (ref = Control)","V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.734"
"N1_N2_same_faculty",0.292034896482863,0.306473839102686,NA,0.952886867400824,0.340647394659265,-0.308653828158402,0.892723621124127,"N1 and N2 same faculty","SameFac","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.341"
"participant_engineering",0.732690005077397,0.408436981987972,NA,1.79388752093701,0.0728311236530647,-0.0678464796190277,1.53322648977382,"Engineering participant","Eng part.","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.073+"
"sex_man",-0.198727805830139,0.42301975986255,NA,-0.46978374224105,0.638509530912778,-1.02784653516074,0.630390923500459,"Man participant","Man","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.639"
"age",-0.00942452617493329,0.0619834208210768,NA,-0.152049145563269,0.879148173686411,-0.130912030984244,0.112062978634377,"Age","Age","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.879"
"economic_status",0.286949207801274,0.188890585584833,NA,1.51912921924001,0.128729973205228,-0.0832763399449978,0.657174755547546,"Economic status","SES","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.129"
