"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference"
"(Intercept)",-13.7157450352973,4.93820338700452,2.10722930694605,-2.77747673807684,0.00547827612544985,-23.3946236738262,-4.03686639676845,"Intercept","Tobit","Cluster-robust standard errors by participant id"
"iri_fs",-0.463469899183948,0.899538640132496,0.558786659222438,-0.515230673265667,0.606391837221848,-2.22656563384364,1.29962583547574,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id"
"iri_ec",-1.61314347687953,1.08433813001276,0.715691734477444,-1.48767569103241,0.13683644137299,-3.73844621170455,0.51215925794549,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id"
"iri_pt",1.95195656579284,1.05389345725417,0.606484548644563,1.85213842287104,0.064005948324081,-0.113674610425327,4.01758774201101,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id"
"iri_pd",-0.269454188024003,0.977577814547155,0.611513962798009,-0.2756345162649,0.782828796089049,-2.18550670453643,1.64659832848842,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id"
"perp_outgroup",0.716560722336065,2.16083232449502,2.05557055450942,0.331613292809993,0.740181280850884,-3.51867063367417,4.9517920783463,"Outgroup perpetrator (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id"
"perp_control",0.226794645891888,2.1726717634814,2.00677582767668,0.104385139855862,0.916863714932522,-4.03164201053166,4.48523130231544,"Control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id"
"victim_outgroup",-0.306513537612039,0.477513341839814,0.429046449475598,-0.641895232562657,0.520941209904747,-1.24243968761808,0.629412612393997,"Victim outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id"
"role_observer",1.0155343084122,0.421180703479953,0.376188612036795,2.41116057792173,0.0159018454744066,0.190020129591497,1.84104848723291,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id"
"participant_engineering",1.45809176104185,0.887103827929413,0.331501862521996,1.6436540065949,0.100247691460002,-0.280631741699798,3.1968152637835,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id"
"sex_man",0.192026814873278,0.941552211861157,0.332923333324345,0.203947070012932,0.838394861468697,-1.65341552037459,2.03746915012115,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id"
"age",0.382681574733128,0.193265168967426,0.0681298725276996,1.98008558281719,0.0476939128746451,0.00388184355697302,0.761481305909283,"Age","Tobit","Cluster-robust standard errors by participant id"
"economic_status",0.0988974278521571,0.389270643172072,0.149032149599,0.254058274331365,0.799450538184052,-0.664073032765103,0.861867888469417,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id"
"factor(negotiator_slot)2",0.598159833083332,0.258810256867054,0.307650600776345,2.31119060088332,0.0208223293029683,0.0908917296239069,1.10542793654276,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id"
"iri_fs:perp_outgroup",-0.821630564215016,0.695534382877828,0.788200647106041,-1.18129395820154,0.237485966620553,-2.18487795465556,0.541616826225527,"Fantasy x outgroup perpetrator","Tobit","Cluster-robust standard errors by participant id"
"iri_ec:perp_outgroup",-2.44431253636865,0.943890863401175,0.981804177015799,-2.58961351480924,0.00960837384266796,-4.29433862863495,-0.594286444102343,"Empathic concern x outgroup perpetrator","Tobit","Cluster-robust standard errors by participant id"
"iri_pt:perp_outgroup",-0.547972135496403,0.872310769523017,0.843067604103853,-0.628184535421976,0.529883059768386,-2.25770124376152,1.16175697276871,"Perspective taking x outgroup perpetrator","Tobit","Cluster-robust standard errors by participant id"
"iri_pd:perp_outgroup",3.68811900285974,0.867894667289976,0.863434897994079,4.24950070770222,2.14247532366646e-05,1.98704545497139,5.38919255074809,"Personal distress x outgroup perpetrator","Tobit","Cluster-robust standard errors by participant id"
"iri_fs:perp_control",-0.566739591912598,0.773232869289943,0.763640107028439,-0.73294813816313,0.463590061302671,-2.08227601572089,0.94879683189569,"Fantasy x control label hidden","Tobit","Cluster-robust standard errors by participant id"
"iri_ec:perp_control",-0.247553562439962,1.0698320791654,0.975470886862422,-0.231394783593593,0.817008117301759,-2.34442443760414,1.84931731272422,"Empathic concern x control label hidden","Tobit","Cluster-robust standard errors by participant id"
"iri_pt:perp_control",-0.0886310486726246,0.912489935709051,0.818091632455568,-0.0971309876461857,0.922622372617804,-1.87711132266236,1.69984922531711,"Perspective taking x control label hidden","Tobit","Cluster-robust standard errors by participant id"
"iri_pd:perp_control",1.02710429595606,0.898087121341331,0.862085179177394,1.14365774939745,0.252765601868415,-0.733146461872948,2.78735505378507,"Personal distress x control label hidden","Tobit","Cluster-robust standard errors by participant id"
"Log(scale)",1.8704548653066,0.0570927420884402,0.0206061891052415,32.7616925879852,2.06941392907064e-235,1.75855309081326,1.98235663979995,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id"
