"estimate","std_error","naive_se","statistic","p_value","term","conf_low","conf_high","pretty_term","hypothesis","role","variant","model_family","session_handling","dependence_adjustment","formula","p_symbol","p_value_display"
6.3695932414149,3.06032783942895,1.62896209489653,2.08134342972989,0.0374024826420759,"(Intercept)",0.37135067613417,12.3678358066956,"Intercept","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","*","0.037*"
0.191033241431071,0.359332186572181,0.222319403770731,0.531634093938025,0.59497944652597,"iri_fs",-0.513257844250404,0.895324327112546,"Empathy: Fantasy","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.595"
-0.527167423154014,0.52246137809106,0.332907556899052,-1.00900745061798,0.312971060986802,"iri_ec",-1.55119172421249,0.496856877904463,"Empathy: Empathic concern","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.313"
0.542458292029282,0.462384465921611,0.295783818839391,1.17317585690962,0.240725291666581,"iri_pt",-0.363815261177075,1.44873184523564,"Empathy: Perspective taking","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.241"
0.387276935486376,0.426730371041803,0.274504909982201,0.907544814635276,0.36411876204203,"iri_pd",-0.449114591755558,1.22366846272831,"Empathy: Personal distress","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.364"
-15.3552833755238,0.964270749479654,0.456236027749837,-15.9242447038967,4.30176807860684e-57,"accept_target",-17.245254044504,-13.4653127065437,"Target accepted","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
-4.26541854407415,0.659976142877981,0.448069197068366,-6.46298898847129,1.02654765296744e-10,"accept_other",-5.55897178411499,-2.9718653040333,"Other negotiator accepted","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
0.181781117940199,0.0984018312629919,0.0536954841419711,1.84733470512724,0.0646986460517192,"age",-0.0110864713352651,0.374648707215663,"Age","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","+","0.065+"
0.195252903086332,0.243988469341661,0.153651197805619,0.800254633397925,0.423563281904963,"ses",-0.282964496823323,0.673470302995987,"Socioeconomic status","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.424"
0.0119404491813642,0.556384256438089,0.352611330450288,0.0214607962809833,0.982878076290305,"sex_female",-1.07857269343729,1.10245359180002,"Woman participant","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.983"
1.0482417101361,0.518443176518364,0.361109053525051,2.02190279979309,0.0431863944775785,"faculty_player_factorEngineering",0.0320930841601099,2.0643903361121,"Participant faculty: Engineering vs Humanities","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","*","0.043*"
-0.107590486785715,1.97292662119384,1.04976881101611,-0.0545334457095071,0.956510162402671,"factor(session)2",-3.97452666432564,3.75934569075421,"Session 2","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.957"
-0.00411240727724805,1.67431327764019,0.962077306612186,-0.00245617551516056,0.998040257448287,"factor(session)3",-3.28576643145201,3.27754161689752,"Session 3","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.998"
-0.948558106925446,1.87450899142143,1.18995407451963,-0.506030171776429,0.61283546897526,"factor(session)4",-4.62259573011145,2.72547951626055,"Session 4","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.613"
-2.98102002664944,1.69654478370829,1.13332908644363,-1.75711248843874,0.0788986374905238,"factor(session)5",-6.30624780271769,0.344207749418818,"Session 5","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","+","0.079+"
1.84289375682337,2.4673239454112,1.64315173209803,0.746920063030572,0.455111814531804,"factor(session)6",-2.99306117618258,6.67884868982932,"Session 6","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.455"
-2.9902571681623,1.78714472181118,0.987670662027348,-1.6732037040245,0.0942872014317432,"factor(session)7",-6.49306082291221,0.512546486587607,"Session 7","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","+","0.094+"
-1.3267150502074,1.67159960559365,0.91382790686137,-0.793679925364804,0.427381789786928,"factor(session)8",-4.60305027717096,1.94962017675615,"Session 8","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.427"
0.594123404991798,1.52439758029543,0.858767919544295,0.389743077968319,0.696726538819882,"factor(session)9",-2.39369585238724,3.58194266237084,"Session 9","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.697"
-0.351300203149807,1.62786974585511,0.870851778667693,-0.215803631736685,0.829140817305657,"factor(session)10",-3.54192490502582,2.8393244987262,"Session 10","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.829"
-3.17543674462935,1.72908581685944,0.852656211821818,-1.83648302106655,0.0662862509669087,"factor(session)11",-6.56444494567384,0.213571456415149,"Session 11","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","+","0.066+"
-0.195635155502038,1.67924913588996,0.827341863030219,-0.116501566873432,0.907255044369579,"factor(session)12",-3.48696346184636,3.09569315084229,"Session 12","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.907"
-1.38410202513807,1.54631623262977,0.851159970965643,-0.895096356056595,0.370735581720583,"factor(session)13",-4.41488184109242,1.64667779081628,"Session 13","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.371"
-0.0986541562984714,1.78183280987782,0.943069368672869,-0.0553666739952085,0.95584634539472,"factor(session)14",-3.59104646365899,3.39373815106205,"Session 14","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.956"
-2.4893581440308,1.88505549897647,1.22939262549915,-1.32057551906692,0.186642940065166,"factor(session)15",-6.18406692202467,1.20535063396307,"Session 15","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.187"
-0.738826069866103,1.56016452833016,0.836379114584375,-0.473556510515508,0.635816194157272,"factor(session)16",-3.79674854539322,2.31909640566101,"Session 16","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.636"
4.83161794567786,0.764150176277238,0.615255191129536,6.32286439979164,2.56758605052806e-10,"accept_target:accept_other",3.33388360017447,6.32935229118124,"Target accepted x Other accepted","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
1.93272122895723,0.0504802240396477,0.0207921559758371,38.2867006976682,1.01975149301633e-320,"Log(scale)",1.83377998983952,2.03166246807494,"Tobit log-scale","H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
