"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",-2.60441275456799,3.63851917424404,2.86299678790437,-0.715789207049897,0.474121517767203,-9.73591033608631,4.52708482695033,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.474"
"iri_total",0.404023946868731,0.793335994452327,0.611435904280542,0.509272174329674,0.610561459240103,-1.15091460225783,1.95896249599529,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.611"
"h2_negstruct_j_out_c_in",-0.0687459482801606,1.15326572349773,1.20267094419402,-0.0596098079388518,0.952466406656298,-2.32914676633571,2.19165486977539,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator ingroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.952"
"h2_negstruct_j_cont_c_in",-1.26714005476072,1.27209101196351,1.15777118737206,-0.996108016520649,0.3191976652384,-3.76043843820919,1.22615832868776,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator ingroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.319"
"h2_negstruct_j_in_c_out",-0.597386102217274,1.18512986466175,1.19892665099689,-0.504068051974859,0.614213556443536,-2.9202406369543,1.72546843251975,"Negotiator-side structure: judged negotiator ingroup, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.614"
"h2_negstruct_j_out_c_out",-1.1488870000793,1.45446467597362,1.21244792279161,-0.789903680067193,0.429584022036257,-3.99963776498759,1.70186376482899,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.430"
"h2_negstruct_j_cont_c_out",-0.937909902226246,1.25390822040268,1.1519704900678,-0.747989276220749,0.454466625913554,-3.39557001421549,1.519750209763,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.454"
"h2_negstruct_j_in_c_cont",-0.754768839830257,1.30258329852199,1.15977903815518,-0.579439979528889,0.562292334459472,-3.30783210493336,1.79829442527285,"Negotiator-side structure: judged negotiator ingroup, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.562"
"h2_negstruct_j_out_c_cont",-1.02757596904271,1.26521646697693,1.1542366195417,-0.812174039670831,0.416691773486002,-3.5074002443175,1.45224830623208,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.417"
"h2_negstruct_j_cont_c_cont",-0.63494747946998,1.18353680618231,1.13980535841579,-0.536483087093935,0.591624721710943,-2.9546796195873,1.68478466064734,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.592"
"participant_engineering",1.3127790198115,0.748616926639146,0.573232809160144,1.75360584712546,0.0794980684337978,-0.154510156401228,2.78006819602423,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","+","0.079+"
"sex_man",0.619040079586657,0.807424167507621,0.578286251855692,0.766685101212076,0.443268763944921,-0.963511288728281,2.20159144790159,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.443"
"age",0.102813743621102,0.150726197970611,0.113312444130004,0.682122583899772,0.495161441360116,-0.192609604401296,0.3982370916435,"Age","Tobit","Cluster-robust standard errors by participant id","","0.495"
"economic_status",0.917705444578202,0.353477324967864,0.264412098470245,2.59622153885439,0.0094255270938683,0.224889887641188,1.61052100151522,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","**","0.009**"
"factor(negotiator_slot)2",0.285908761374445,0.497095834074134,0.551083908798697,0.575158232631269,0.565184287565449,-0.688399073410857,1.26021659615975,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.565"
"Log(scale)",2.44451708029793,0.0602307596960132,0.0245981963169895,40.5858583327771,0,2.32646479129374,2.56256936930212,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
