"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",8.20679170391576,3.20653331596708,2.55661357841906,2.55939698585062,0.0104853926754219,1.92198640462028,14.4915970032113,"Intercept","Tobit","Cluster-robust standard errors by participant id","*","0.010*"
"judged_outgroup",-0.174808949620105,0.732817214008532,0.711469142863732,-0.238543727246656,0.811459404546232,-1.61113068907683,1.26151278983662,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.811"
"iri_total",-1.23797812078784,0.742214806051145,0.553995312323337,-1.66795125979005,0.0953254027156958,-2.69271914064808,0.216762899072408,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","+","0.095+"
"decision_accept",-12.4070547563934,1.09845953887204,0.693310255735378,-11.2949583642686,1.38969899067426e-29,-14.5600354525826,-10.2540740602042,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",0.64448397868159,0.496748511667901,0.500093100922243,1.29740495148671,0.194491889735546,-0.329143104187495,1.61811106155068,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.194"
"observer_victim_outgroup",0.560112040897575,0.530858476222582,0.499978600166445,1.05510614596032,0.291376781489124,-0.480370572498685,1.60059465429383,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.291"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",-0.0462774264133283,0.67554893922057,0.51875208866985,-0.0685034402788374,0.945384881564938,-1.37035334728565,1.27779849445899,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","","0.945"
"sex_man",-0.0233808408461285,0.67566105772588,0.520704528973682,-0.0346043931032862,0.972395198409643,-1.34767651398885,1.3009148322966,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.972"
"age",0.0431297615383767,0.151981833742155,0.102540516060242,0.283782347379414,0.77657718337231,-0.254754632596248,0.341014155673001,"Age","Tobit","Cluster-robust standard errors by participant id","","0.777"
"economic_status",0.766255673906396,0.300964444897565,0.242457008180599,2.54600065521758,0.0108964983823177,0.176365361907169,1.35614598590562,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","*","0.011*"
"factor(negotiator_slot)2",0.488567652669152,0.428515075992676,0.493055401226664,1.14014110597477,0.254227518906263,-0.351321896276493,1.3284572016148,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.254"
"judged_outgroup:decision_accept",-0.245152308891288,0.988456978637585,0.993364343083004,-0.248015153101744,0.804122682544595,-2.18252798702095,1.69222336923838,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.804"
"Log(scale)",1.90899234516915,0.0666231308762086,0.0344830347738316,28.6535970324814,1.4458836432855e-180,1.77841100865178,2.03957368168652,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
