"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference"
"(Intercept)",-16.1370290073729,5.03289167136522,NA,-3.20631359883723,0.00134447378901795,-24.6882363283085,-8.40079022840403,"Intercept","CLAD","Cluster bootstrap by participant id"
"case_hum_x_ing",-0.766204841715838,1.0334904979446,NA,-0.741375797106664,0.458465615203833,-2.92588624029965,0.335843691908665,"Case configuration: Humanities victim x Engineering negotiator","CLAD","Cluster bootstrap by participant id"
"case_ing_x_hum",-0.192277328774225,1.00336571041641,NA,-0.191632349778455,0.848030200655943,-1.57277741583762,1.81698237371647,"Case configuration: Engineering victim x Humanities negotiator","CLAD","Cluster bootstrap by participant id"
"case_ing_x_ing",-0.387613695542536,0.883421878807637,NA,-0.438763975447045,0.66083256578133,-1.79284367172298,1.02815302096795,"Case configuration: Engineering victim x Engineering negotiator","CLAD","Cluster bootstrap by participant id"
"iri_total",-0.303853179709863,0.823719726665638,NA,-0.3688793285792,0.712217671874202,-1.43079711181055,0.93343342507161,"Empathy composite (average)","CLAD","Cluster bootstrap by participant id"
"role_observer",0.980247960754675,0.391920979562797,NA,2.50113673896248,0.0123795370263809,0.429476600406702,1.70240791635851,"Observer role (ref = victim)","CLAD","Cluster bootstrap by participant id"
"participant_engineering",-0.352979007542743,1.12648271247768,NA,-0.313346138056901,0.754017700642617,-1.74935443156398,1.63190913891688,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap by participant id"
"sex_man",0.524736429120915,0.571586451141285,NA,0.918035107503293,0.358600486185076,0.0245904695013258,1.71232081675161,"Man (ref = woman)","CLAD","Cluster bootstrap by participant id"
"age",0.597079813597771,0.231598560486104,NA,2.57808084965881,0.00993507495020054,0.118969097582854,0.881924500054624,"Age","CLAD","Cluster bootstrap by participant id"
"economic_status",0.170358888158962,0.331903079767626,NA,0.513279021930843,0.607756156161841,-0.114334982444902,0.795147000219056,"Socioeconomic status","CLAD","Cluster bootstrap by participant id"
"factor(negotiator_slot)2",0.245958686421818,0.367354949861822,NA,0.669539600635117,0.50315132820364,-0.0345479939962413,1.01377453177857,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap by participant id"
