"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",1.89963811338638,2.86876305602968,2.59487510566152,0.662180206690001,0.507855737751225,-3.7231374764318,7.52241370320456,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.508"
"judged_outgroup",-0.414644158560035,0.776939386978632,0.796538765412764,-0.533689198294486,0.593556583673835,-1.93744535703815,1.10815703991808,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.594"
"iri_total",1.5676998788797,0.81311103654396,0.65688836805585,1.9280268111266,0.0538517913920776,-0.0259977527464637,3.16139751050586,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","+","0.054+"
"decision_accept",-15.8149776901259,1.32610270572047,0.822142874405652,-11.9259071125518,8.67340882200307e-33,-18.414138993338,-13.2158163869137,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.62509136572283,0.572987699373585,0.56277843532746,-1.09093330695617,0.275302230026254,-1.74814725649506,0.497964525049397,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.275"
"observer_victim_outgroup",NA,0,0,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",0.892034700756069,0.759350680418257,0.587032203293285,1.17473352399543,0.240101342812067,-0.596292632863714,2.38036203437585,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","","0.240"
"sex_man",-0.0417263589283277,0.733868009922004,0.59346044655343,-0.0568581248455869,0.954658211850528,-1.48010765837546,1.3966549405188,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.955"
"age",0.194676486621263,0.106187569393378,0.10104908337188,1.83332651583795,0.0667540284079954,-0.0134511493897586,0.402804122632284,"Age","Tobit","Cluster-robust standard errors by participant id","+","0.067+"
"economic_status",0.313489653287337,0.342671455824005,0.263391828110865,0.914840287859706,0.360275481199883,-0.358146400127712,0.985125706702386,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","","0.360"
"factor(negotiator_slot)2",0.135285225340048,0.491880419094779,0.560763393356204,0.275036818072607,0.783287951941467,-0.828800396085719,1.09937084676582,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.783"
"judged_outgroup:decision_accept",0.745319792427314,1.00152490776491,1.12419072898656,0.744184978974346,0.456764574167095,-1.21766902679191,2.70830861164654,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.457"
"Log(scale)",1.98564206354125,0.0617275745448059,0.0385347756217143,32.167829016187,4.97528183942879e-227,1.86465601743343,2.10662810964907,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
