"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",5.19598998326555,2.75819692452382,1.83494941903922,1.88383575409961,0.0595871956309521,-0.210075988801143,10.6020559553322,"Intercept","Tobit","Cluster-robust standard errors by participant id","+","0.060+"
"judged_outgroup",-0.204855885647214,0.542719947897203,0.532284227308287,-0.377461500062673,0.705830670467096,-1.26858698352573,0.858875212231304,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.706"
"iri_total",0.0947251324519723,0.663849878214736,0.426381673281443,0.142690592497678,0.886534546787024,-1.20642062884891,1.39587089375286,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.887"
"decision_accept",-14.0375936231555,1.05397829381244,0.534282423538574,-13.3186743081576,1.80280269466634e-40,-16.1033910790278,-11.9717961672831,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",0.0266859384119182,0.378614983134471,0.375330791811987,0.0704830490092895,0.943809191924119,-0.715399428531644,0.768771305355481,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.944"
"observer_victim_outgroup",0.621046298505878,0.545967572107366,0.520984405935403,1.13751499216101,0.255323060871296,-0.44905014282456,1.69114273983632,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.255"
"role_observer",-0.110109322001006,0.532899476488092,0.447014968741582,-0.206623062808482,0.836304247406833,-1.15459229591767,0.934373651915654,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","0.836"
"participant_engineering",0.394856715099678,0.586419358457214,0.390055500507928,0.673335062025391,0.500734151386433,-0.754525227476461,1.54423865767582,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","","0.501"
"sex_man",-0.047372975807703,0.573050948355784,0.394383865629791,-0.0826680000157527,0.934115530038823,-1.17055283458504,1.07580688296963,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.934"
"age",0.120814571924347,0.119922870836501,0.0721158949456515,1.00743562159266,0.313725480442542,-0.114234254915195,0.355863398763889,"Age","Tobit","Cluster-robust standard errors by participant id","","0.314"
"economic_status",0.536605313099411,0.254301478668772,0.179378594279315,2.11011479724166,0.0348484690312326,0.0381744149086168,1.0350362112902,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","*","0.035*"
"factor(negotiator_slot)2",0.292212337871174,0.331884770137817,0.372824557365382,0.880463233518764,0.378608414162536,-0.358281811598948,0.942706487341296,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.379"
"judged_outgroup:decision_accept",0.0498848406783083,0.681133143015985,0.748625440421587,0.0732380169571891,0.941616714445887,-1.28513611963302,1.38490580098964,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.942"
"Log(scale)",1.95388372353643,0.0548984619935867,0.0257167409002339,35.5908645266726,1.93979761088183e-277,1.846282738029,2.06148470904386,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
