"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",7.57227739427313,3.39504357860727,2.63617764716982,2.23039181057566,0.0257214427798494,0.917991980202875,14.2265628083434,"Intercept","Tobit","Cluster-robust standard errors by participant id","*","0.026*"
"judged_outgroup",-0.0314109819236698,0.735356648439996,0.710986167370711,-0.0427153028266024,0.965928480812058,-1.47271001286606,1.40988804901872,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.966"
"iri_fs",-1.29522483652832,0.67348157480215,0.491705282173448,-1.92317783438816,0.0544577199739942,-2.61524872314054,0.0247990500838893,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id","+","0.054+"
"iri_ec",-1.52593694712562,1.04354597715991,0.628642618638595,-1.46226134786947,0.143669606086332,-3.57128706235905,0.519413168107807,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id","","0.144"
"iri_pt",0.91997825662778,0.536830472395315,0.497415297830915,1.7137221225965,0.0865797719500009,-0.132209469267037,1.9721659825226,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id","+","0.087+"
"iri_pd",0.906154015035661,0.882398068022054,0.567025111417779,1.02692202972164,0.304457180055133,-0.823346198287564,2.63565422835889,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id","","0.304"
"decision_accept",-12.2854729031619,1.10066045674073,0.691486761396708,-11.1619099495421,6.26313577137899e-29,-14.4427673983738,-10.1281784079501,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",0.767819708110101,0.497577720785908,0.497853880107299,1.54311512761736,0.122802844936344,-0.207432624630277,1.74307204085048,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.123"
"observer_victim_outgroup",0.523857849664796,0.530465805452876,0.49943811914309,0.987543106982288,0.323376461356592,-0.515855129022842,1.56357082835243,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.323"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",-0.140567167067929,0.667365753723802,0.518758635940601,-0.210629877669905,0.833176096290739,-1.44860404436658,1.16746971023072,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","","0.833"
"sex_man",0.00622963917145772,0.688151644689215,0.525606128252381,0.00905271275529853,0.992777078914299,-1.3425475844194,1.35500686276232,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.993"
"age",0.0293603275237951,0.155310994266184,0.102844990648601,0.18904217091982,0.850059765022596,-0.275049221237925,0.333769876285515,"Age","Tobit","Cluster-robust standard errors by participant id","","0.850"
"economic_status",0.728903728061991,0.289623801415287,0.242916844974696,2.51672591996964,0.0118450932799443,0.161241077288029,1.29656637883595,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","*","0.012*"
"factor(negotiator_slot)2",0.493990245363351,0.426101296849574,0.489155385282586,1.15932584344549,0.246323391405169,-0.341168296461814,1.32914878718852,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.246"
"judged_outgroup:decision_accept",-0.288580959002875,0.984269471731134,0.993334489063741,-0.293193040413331,0.769374603415302,-2.2177491235959,1.64058720559015,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.769"
"Log(scale)",1.90053443262579,0.065210155218691,0.0344726102826694,29.1447616748049,9.73381075462485e-187,1.77272252839715,2.02834633685442,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
