"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",3.06144532698487,3.13770503841728,2.66603178057237,0.975695704185479,0.329215281673487,-3.08845654831299,9.21134720228273,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.329"
"judged_outgroup",-0.229271939623652,0.759381146168414,0.790453539562382,-0.30191945214927,0.762713466659403,-1.71765898611374,1.25911510686644,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.763"
"iri_fs",0.0536868308522229,0.711396142890306,0.612807663455821,0.0754668568121561,0.939843266746459,-1.34064960921278,1.44802327091722,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id","","0.940"
"iri_ec",-2.07438920790545,0.896859492178267,0.751208322205326,-2.31294782069734,0.020725508161245,-3.83223381257485,-0.316544603236046,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id","*","0.021*"
"iri_pt",2.08755816209776,0.88327302141505,0.621896019870361,2.36343476080972,0.018106414296569,0.356343040124257,3.81877328407126,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id","*","0.018*"
"iri_pd",1.48363837406524,0.844914862290442,0.670967650158328,1.755961979463,0.0790949007554348,-0.17239475602403,3.1396715041545,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id","+","0.079+"
"decision_accept",-15.5486741379559,1.29103607632567,0.813879896742203,-12.0435628586058,2.09699195109397e-33,-18.0791048475542,-13.0182434283576,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.602501847377868,0.570957969475529,0.558278464004571,-1.05524728541982,0.291312243232568,-1.72157946754991,0.51657577279417,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.291"
"observer_victim_outgroup",NA,0,0,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",0.808032818989855,0.74858704934283,0.599382818021336,1.07941063059962,0.280404714025465,-0.659197797722092,2.2752634357018,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","","0.280"
"sex_man",-0.367874324241943,0.755879328568189,0.61269958444426,-0.486683932657324,0.626482333264147,-1.84939780823559,1.11364915975171,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.626"
"age",0.150684553897791,0.112018363891301,0.101186011416201,1.34517724293857,0.178568003421887,-0.0688714393291599,0.370240547124742,"Age","Tobit","Cluster-robust standard errors by participant id","","0.179"
"economic_status",0.169117034476227,0.335560554162096,0.265624297377387,0.503983654749042,0.614272863135461,-0.48858165168148,0.826815720633934,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","","0.614"
"factor(negotiator_slot)2",0.109183772270144,0.490258261011913,0.555258694720259,0.222706644544417,0.823763829636181,-0.851722419313205,1.07008996385349,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.824"
"judged_outgroup:decision_accept",0.458144201413904,0.954873072538312,1.11504726380158,0.479795916954734,0.631372516461674,-1.41340702076119,2.32969542358899,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.631"
"Log(scale)",1.97412557654557,0.0609417620006857,0.0385125223797747,32.3936412689111,3.37322698062818e-230,1.85467972302423,2.09357143006692,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
