"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",5.39674055286232,2.34024983736608,1.68722637630639,2.30605316863788,0.0211076616343377,0.80985087162481,9.98363023409983,"Intercept","Tobit","Cluster-robust standard errors by participant id","*","0.021*"
"judged_outgroup",0.0999587455876354,0.58982453916199,0.587024322004426,0.169472002181623,0.86542539283071,-1.05609735116986,1.25601484234514,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.865"
"judged_control",0.35842767283241,0.606417527814165,0.570203089184095,0.59105757401895,0.554481845256726,-0.830150681683354,1.54700602734817,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.554"
"iri_total",-0.149138009936159,0.589147184971557,0.359676992164758,-0.25314219220679,0.800158335723654,-1.30386649248041,1.00559047260809,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.800"
"decision_accept",-13.0927776988828,0.960555688848205,0.568584473657601,-13.6304202357931,2.64055383250823e-42,-14.9754668490253,-11.2100885487403,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",0.243837697269125,0.403959404410886,0.398253322101412,0.603619310768927,0.546096771103004,-0.547922735376211,1.03559812991446,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.546"
"counterpart_control",0.845808121636003,0.391324976259372,0.39525640879955,2.16139570165181,0.0306647858578391,0.0788111681676338,1.61280507510437,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","*","0.031*"
"observer_victim_outgroup",-0.031893424344221,0.365318019194545,0.324600154199653,-0.0873031787880046,0.930430527363096,-0.747916741965529,0.684129893277087,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.930"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",1.28721603432737,0.536057876652279,0.337057828686978,2.40126316651875,0.0163385814938186,0.236542596088904,2.33788947256584,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.016*"
"sex_man",-0.0458433822099525,0.544582551624589,0.338396684227639,-0.0841807767678073,0.932912701848477,-1.11322518339415,1.02153841897424,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.933"
"age",0.0969651090279931,0.10715407078703,0.066613568449519,0.904912975454872,0.365511492391394,-0.113056869714585,0.306987087770571,"Age","Tobit","Cluster-robust standard errors by participant id","","0.366"
"economic_status",0.438936659981529,0.247026832094943,0.156003021024313,1.7768784721039,0.0755882371049213,-0.04523593092456,0.923109250887618,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","+","0.076+"
"factor(negotiator_slot)2",0.329628428468745,0.322300249820855,0.321959954053388,1.02273711749204,0.306432156729189,-0.302080061180132,0.961336918117621,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.306"
"judged_outgroup:decision_accept",-0.56066718890523,0.810610853324294,0.794169746370327,-0.691660106209964,0.489150805632153,-2.14946446142085,1.02813008361038,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.489"
"judged_control:decision_accept",-0.345600744270197,0.792191788063625,0.789406145066741,-0.436258933098711,0.662648873908872,-1.8982966488749,1.20709516033451,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.663"
"Log(scale)",1.89630451954302,0.050369462321062,0.0226985090194176,37.6479007747931,3.54093072795081e-310,1.79758037339374,1.9950286656923,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
