"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference"
"(Intercept)",-15.8008322503058,NA,NA,NA,NA,NA,NA,"Intercept","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_hum_x_ing",-0.892256358186951,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Engineering negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_hum_x_control",-0.163867314773081,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Control label hidden negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_hum",-0.14707934354488,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Humanities negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_ing",-0.417732742598226,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Engineering negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_control",0.0903111133615032,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Control label hidden negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total",-0.446835832926095,NA,NA,NA,NA,NA,NA,"Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"role_observer",0.999058461247834,NA,NA,NA,NA,NA,NA,"Observer role (ref = victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"participant_engineering",-0.129002353762481,NA,NA,NA,NA,NA,NA,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"sex_man",0.175258862720126,NA,NA,NA,NA,NA,NA,"Man (ref = woman)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"age",0.614519378364564,NA,NA,NA,NA,NA,NA,"Age","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"economic_status",0.0121415947449896,NA,NA,NA,NA,NA,NA,"Socioeconomic status","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"factor(negotiator_slot)2",0.270651092966157,NA,NA,NA,NA,NA,NA,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
