"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",3.03133945468467,2.54550811593861,1.84843864518583,1.19085829493296,0.233709219209418,-1.95785645255501,8.02053536192435,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.234"
"judged_outgroup",0.206780819601786,0.676557023481415,0.643000151752745,0.305636941787608,0.75988109007906,-1.11927094642179,1.53283258562536,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.760"
"judged_control",0.120489505490829,0.736478423566597,0.635468517650475,0.163602220561094,0.870044296506655,-1.3230082046997,1.56398721568136,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.870"
"iri_total",0.48128229905451,0.599807838027829,0.401080462057243,0.802394147827358,0.422324997235621,-0.694341063480035,1.65690566158906,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.422"
"decision_accept",-15.1056711844215,1.08221377507881,0.647391676292201,-13.9581213363518,2.80736734321787e-44,-17.2268101835759,-12.984532185267,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.547293480555003,0.430662625859614,0.449424652858655,-1.27081721907628,0.20379368148164,-1.39139222723985,0.296805266129841,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.204"
"counterpart_control",-0.568351910547809,0.454169012306468,0.437234591708295,-1.25141058757283,0.210784716461593,-1.45852317466849,0.321819353572869,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.211"
"observer_victim_outgroup",NA,0,0,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",1.18935926755723,0.569860585625911,0.374747732581962,2.0871056843682,0.0368785823525986,0.0724325197304463,2.30628601538402,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.037*"
"sex_man",0.276113693511528,0.571548208442152,0.378027033375934,0.483097819979388,0.629026281894602,-0.84412079503509,1.39634818205815,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.629"
"age",0.206694074226478,0.107438055136143,0.0734845677078449,1.92384415340133,0.0543741211059302,-0.00388451384036217,0.417272662293318,"Age","Tobit","Cluster-robust standard errors by participant id","+","0.054+"
"economic_status",0.440277188102503,0.270586765993853,0.17264414584418,1.62712018263489,0.103711575328625,-0.0900728732454485,0.970627249450455,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","","0.104"
"factor(negotiator_slot)2",0.35542594248963,0.340531673357895,0.359569201188395,1.04373827839527,0.296606494714422,-0.312016137291845,1.0228680222711,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.297"
"judged_outgroup:decision_accept",-0.367686144934961,0.906705552149778,0.900917949395828,-0.40551879721392,0.685096204210299,-2.14482902714853,1.4094567372786,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.685"
"judged_control:decision_accept",0.766593904758433,0.925411519668363,0.872333531237206,0.828381631809765,0.4074544055861,-1.04721267379156,2.58040048330842,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.407"
"Log(scale)",1.9937031646041,0.0544147369319781,0.0239578020050105,36.6390297374102,6.84226171954606e-294,1.88705028021742,2.10035604899077,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
