"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",4.05256998547393,2.22702918256094,1.25514324012721,1.81972019819414,0.0688016257933902,-0.312407212345515,8.41754718329338,"Intercept","Tobit","Cluster-robust standard errors by participant id","+","0.069+"
"judged_outgroup",0.170766525432302,0.436728974968657,0.433975402570765,0.391012584966586,0.69578793349315,-0.685222265506266,1.02675531637087,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.696"
"judged_control",0.234266064861363,0.474109448280248,0.425792233632177,0.494118110725537,0.621222768167228,-0.694988453767923,1.16352058349065,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.621"
"iri_total",0.158995748996245,0.550246193940025,0.268515861511023,0.288953836932083,0.772616704109321,-0.919486791126203,1.23747828911869,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.773"
"decision_accept",-14.0333019001437,0.927301903238371,0.428401378831557,-15.1334768656636,9.7409966466017e-52,-15.8508136304909,-12.2157901697965,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.145887071255039,0.284352869787116,0.298556792571623,-0.513049407112573,0.60791676038416,-0.703218696037787,0.41144455352771,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.608"
"counterpart_control",0.176042140075766,0.284547185123959,0.293181955835481,0.618674684829778,0.536130690257698,-0.381670342767194,0.733754622918725,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.536"
"observer_victim_outgroup",0.000845092912896393,0.372650687770333,0.340777276929534,0.00226778841588299,0.998190568186743,-0.729550255116957,0.73124044094275,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.998"
"role_observer",0.343490561909095,0.334933002921159,0.292279768433185,1.0255500619924,0.305103716602456,-0.312978123816376,0.999959247634567,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","0.305"
"participant_engineering",1.23594068472008,0.496239170678094,0.2512805569931,2.49061492471707,0.0127522246556654,0.263311910191016,2.20856945924915,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.013*"
"sex_man",0.109131915852009,0.499749524144046,0.252957914869153,0.21837322614549,0.8271383245925,-0.870377151470322,1.08864098317434,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.827"
"age",0.148816412106971,0.100025721529814,0.0495522545245954,1.48778144092281,0.136808541635314,-0.0472340020914646,0.344866826305406,"Age","Tobit","Cluster-robust standard errors by participant id","","0.137"
"economic_status",0.445167570078071,0.230720762171906,0.115998938791552,1.92946471694812,0.0536731961882184,-0.00704512377886446,0.897380263935007,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","+","0.054+"
"factor(negotiator_slot)2",0.360315744692888,0.239175922530347,0.240561484102632,1.50648836588963,0.131941851496687,-0.108469063466592,0.829100552852369,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.132"
"judged_outgroup:decision_accept",-0.506334158568893,0.596819353924941,0.59719175191739,-0.848387632269331,0.39622212814005,-1.67610009226178,0.663431775123992,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.396"
"judged_control:decision_accept",0.210077627446723,0.601107736896744,0.586429939886968,0.349484151595289,0.726725866850328,-0.968093536870896,1.38824879176434,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.727"
"Log(scale)",1.94667769761854,0.0484109183319935,0.0164806849222656,40.2115424514067,0,1.85179229768783,2.04156309754925,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
