"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",4.51265501716981,2.45867834076051,1.72723700185315,1.83539869463932,0.0664466369999008,-0.306354530720794,9.33166456506041,"Intercept","Tobit","Cluster-robust standard errors by participant id","+","0.066+"
"judged_outgroup",0.215243973050086,0.580999651785634,0.584664135719396,0.370471776340243,0.71103100212492,-0.923515344449755,1.35400329054993,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.711"
"judged_control",0.387584598286334,0.604873686388598,0.56699629222242,0.640769481311727,0.521672463920838,-0.797967827035319,1.57313702360799,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.522"
"iri_fs",-1.06463312481821,0.524552610134558,0.332662208461428,-2.02960218717645,0.0423969924157594,-2.09275624068194,-0.036510008954479,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id","*","0.042*"
"iri_ec",-0.857837223537397,0.801273950392558,0.419282121841514,-1.07059167856028,0.284353066737707,-2.42833416630681,0.712659719232016,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id","","0.284"
"iri_pt",1.09326576490277,0.514074272613461,0.342905315878812,2.12666889425297,0.0334476037731285,0.085680190580387,2.10085133922515,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id","*","0.033*"
"iri_pd",0.968066311552183,0.727391956712867,0.382288768532318,1.33087299442647,0.183230804549022,-0.457621923605036,2.3937545467094,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id","","0.183"
"decision_accept",-13.0247528890322,0.957712954974576,0.566582182909578,-13.5998503741426,4.01253484621188e-42,-14.9018702807823,-11.147635497282,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",0.321011656466063,0.400646592895665,0.39632465392043,0.801233960698275,0.422996214131705,-0.46425566560944,1.10627897854157,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.423"
"counterpart_control",0.863942112366651,0.392961234769469,0.392774154852528,2.19854284831297,0.0279104446035122,0.0937380922184917,1.63414613251481,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","*","0.028*"
"observer_victim_outgroup",-0.108822085353221,0.366274182401582,0.323599030205467,-0.297105530724819,0.766385942017002,-0.826719482860322,0.609075312153879,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.766"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",1.09769071299673,0.538749570412665,0.343283755909527,2.03747858611921,0.0416021057139095,0.0417415549879061,2.15363987100555,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.042*"
"sex_man",0.0638982350488393,0.563596222049129,0.347997829001462,0.113375910889746,0.909732536881422,-1.04075036016745,1.16854683026513,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.910"
"age",0.0934265580731256,0.108252198122022,0.0668522397864157,0.863045367151019,0.388112523957063,-0.118747750246038,0.305600866392289,"Age","Tobit","Cluster-robust standard errors by participant id","","0.388"
"economic_status",0.404456902228588,0.242669920905776,0.15717093409906,1.66669565275719,0.0955749377782281,-0.0711761427467332,0.880089947203909,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","+","0.096+"
"factor(negotiator_slot)2",0.332756537760047,0.32113364323668,0.319915001221705,1.0361933256392,0.30011195991537,-0.296665402983846,0.962178478503939,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.300"
"judged_outgroup:decision_accept",-0.624073555441174,0.795464903237796,0.790902144253665,-0.784539396899846,0.432723674364929,-2.18318476578725,0.935037654904905,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.433"
"judged_control:decision_accept",-0.352259527863927,0.792885474936497,0.785179466059212,-0.444275420598593,0.65684346964385,-1.90631505873946,1.20179600301161,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.657"
"Log(scale)",1.88962378232682,0.0497073640172551,0.0226945853956074,38.0149665886702,3.26606186046904e-316,1.792197348853,1.98705021580064,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
