"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",-0.544942325210904,NA,NA,NA,NA,NA,NA,"Intercept","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"judged_outgroup",-0.0603856030129644,NA,NA,NA,NA,NA,NA,"Judged negotiator outgroup (ref = ingroup)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"judged_control",-0.190796953842001,NA,NA,NA,NA,NA,NA,"Judged negotiator control label hidden (ref = ingroup)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"iri_fs",-0.125038744487956,NA,NA,NA,NA,NA,NA,"Empathy: Fantasy scale","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"iri_ec",-1.34364708203959,NA,NA,NA,NA,NA,NA,"Empathy: Empathic concern","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"iri_pt",1.32840368258663,NA,NA,NA,NA,NA,NA,"Empathy: Perspective taking","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"iri_pd",0.93341767284583,NA,NA,NA,NA,NA,NA,"Empathy: Personal distress","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"decision_accept",-15.5643723658036,NA,NA,NA,NA,NA,NA,"Negotiator accepted harmful deal","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"counterpart_outgroup",-1.29632325714161,NA,NA,NA,NA,NA,NA,"Counterpart negotiator outgroup (ref = ingroup)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"counterpart_control",-1.27365305032792,NA,NA,NA,NA,NA,NA,"Counterpart negotiator control label hidden (ref = ingroup)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"observer_victim_outgroup",NA,NA,NA,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"role_observer",NA,NA,NA,NA,NA,NA,NA,"Observer role (ref = victim)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"participant_engineering",-0.240307549141744,NA,NA,NA,NA,NA,NA,"Engineering participant (ref = humanities)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"sex_man",0.106593591443631,NA,NA,NA,NA,NA,NA,"Man (ref = woman)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"age",0.543132460489351,NA,NA,NA,NA,NA,NA,"Age","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"economic_status",-0.223044729405032,NA,NA,NA,NA,NA,NA,"Socioeconomic status","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"factor(negotiator_slot)2",0.245844189872371,NA,NA,NA,NA,NA,NA,"Negotiator 2 (ref = negotiator 1)","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"judged_outgroup:decision_accept",-0.302013366100297,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator outgroup","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
"judged_control:decision_accept",0.308986361403697,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator control label hidden","CLAD","Participant-level cluster bootstrap was not run in this pass; rerun with bootstrap enabled for cluster-aware standard errors, confidence intervals, and p-values","","NA"
