"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",3.72899894615191,2.78145058919315,1.88363192485244,1.34066697450614,0.180028601660743,-1.72264420866666,9.18064210097048,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.180"
"judged_outgroup",0.344321245731344,0.65413490043944,0.637037281975074,0.526376509646609,0.59862663348508,-0.937783159129957,1.62642565059265,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.599"
"judged_control",0.0826497145687341,0.721089512416262,0.628897950993455,0.114617829195418,0.908748047192475,-1.33068572976714,1.49598515890461,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.909"
"iri_fs",-0.187544978702294,0.549672941090716,0.367015274642171,-0.341193762112701,0.732957718962036,-1.2649039432401,0.88981398583551,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id","","0.733"
"iri_ec",-2.30877454232234,0.790028638080846,0.463244048643302,-2.92239348174879,0.00347352409990672,-3.8572306729608,-0.760318411683884,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id","**","0.003**"
"iri_pt",1.65481814749469,0.561301081961634,0.380840781995407,2.948182714545,0.00319648076908916,0.554668026849891,2.7549682681395,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id","**","0.003**"
"iri_pd",1.4063971706701,0.720137029347818,0.425513131952378,1.95295771964925,0.0508246053516609,-0.00507140685162422,2.81786574819182,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id","+","0.051+"
"decision_accept",-14.9480122190598,1.05700849691669,0.640292179808315,-14.1418089472917,2.0982063975668e-45,-17.0197488730165,-12.8762755651031,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.471417292603041,0.420690453697098,0.444827903519113,-1.12057996196526,0.262466698346841,-1.29597058184935,0.353135996643272,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.262"
"counterpart_control",-0.649088446345164,0.4426916670154,0.432750551997309,-1.46623145342057,0.142585242434101,-1.51676411369535,0.21858722100502,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.143"
"observer_victim_outgroup",NA,0,0,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"role_observer",NA,0,0,NA,NA,NA,NA,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","NA"
"participant_engineering",1.1732556416498,0.568993084290374,0.379670534529552,2.06198576756524,0.0392090910060986,0.0580291964406645,2.28848208685893,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.039*"
"sex_man",0.15716339070955,0.607400445112204,0.386921489211727,0.258747572502219,0.795830011567975,-1.03334148171037,1.34766826312947,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.796"
"age",0.171508667230198,0.108755222225497,0.0733827268364387,1.57701546390651,0.114791966927154,-0.0416515683317759,0.384668902792172,"Age","Tobit","Cluster-robust standard errors by participant id","","0.115"
"economic_status",0.297345229512141,0.262273974982876,0.172938140460412,1.13371991838517,0.256912051785705,-0.216711761454295,0.811402220478577,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","","0.257"
"factor(negotiator_slot)2",0.332300304047061,0.339162025001489,0.355652820671463,0.979768604830104,0.327200352654145,-0.332457264955856,0.997057873049979,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.327"
"judged_outgroup:decision_accept",-0.485496517882169,0.868334278417325,0.891662233604843,-0.559112463885524,0.57608496899495,-2.18743170358013,1.21643866781579,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.576"
"judged_control:decision_accept",0.676896820007119,0.889351148398462,0.862809603863455,0.761113111762514,0.4465895095867,-1.06623143085387,2.4200250708681,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.447"
"Log(scale)",1.98164318473583,0.0537639318000132,0.023936706616732,36.8582266659177,2.15918580116445e-297,1.8762658784078,2.08702049106385,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
