"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference"
"(Intercept)",-18.7577742593258,NA,NA,NA,NA,NA,NA,"Intercept","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total",1.00978158685619,NA,NA,NA,NA,NA,NA,"Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_hum_x_ing",2.74908035462305,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Engineering negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_hum_x_control",2.98425605392406,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Control label hidden negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_hum",4.24873765560066,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Humanities negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_ing",1.80135476579032,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Engineering negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"case_ing_x_control",3.64875839721769,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Control label hidden negotiator","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"role_observer",0.998700773727288,NA,NA,NA,NA,NA,NA,"Observer role (ref = victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"participant_engineering",-0.142505586402245,NA,NA,NA,NA,NA,NA,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"sex_man",0.186091411439545,NA,NA,NA,NA,NA,NA,"Man (ref = woman)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"age",0.601902610735511,NA,NA,NA,NA,NA,NA,"Age","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"economic_status",0.0195240175876088,NA,NA,NA,NA,NA,NA,"Socioeconomic status","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"factor(negotiator_slot)2",0.343134612585661,NA,NA,NA,NA,NA,NA,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total:case_hum_x_ing",-1.71236588626869,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Engineering negotiator x Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total:case_hum_x_control",-1.49558022851507,NA,NA,NA,NA,NA,NA,"Case configuration: Humanities victim x Control label hidden negotiator x Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total:case_ing_x_hum",-2.05594048579816,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Humanities negotiator x Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total:case_ing_x_ing",-1.05473737791953,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Engineering negotiator x Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
"iri_total:case_ing_x_control",-1.61400254044747,NA,NA,NA,NA,NA,NA,"Case configuration: Engineering victim x Control label hidden negotiator x Empathy composite (average)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge"
