"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",3.87662090610378,2.5350883926448,1.5079128224847,1.5291856952015,0.126218415785804,-1.09215234348003,8.84539415568758,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.126"
"iri_total",0.234933349857531,0.616998766231526,0.458637830830482,0.38076794106485,0.703375449764034,-0.97438423195626,1.44425093167132,"Empathy composite (average)","Tobit","Cluster-robust standard errors by participant id","","0.703"
"judged_outgroup",1.57081675316657,1.31790909665715,1.49042935475127,1.19190068355315,0.233300190138537,-1.01228507628144,4.15391858261459,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.233"
"judged_control",-0.510885126318537,1.50962384943951,1.44743698476908,-0.338418823012248,0.735047591351625,-3.46974787121997,2.44797761858289,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.735"
"decision_accept",-14.0362396528475,0.93036502538415,0.429088856853724,-15.0868092306586,1.97778000138179e-51,-15.8597551026005,-12.2127242030946,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.156219738442237,0.284708370019452,0.298548748914027,-0.548700898507352,0.583210729475488,-0.714248143680363,0.401808666795889,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.583"
"counterpart_control",0.160737500249944,0.283024259593797,0.293590938115854,0.567928348194032,0.570083622002399,-0.393990048553898,0.715465049053786,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.570"
"observer_victim_outgroup",-0.000704016894857629,0.373086347494032,0.340728000524135,-0.00188700792614474,0.998494386403148,-0.731953257983161,0.730545224193446,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.998"
"role_observer",0.350976518991765,0.335795842507944,0.292252713050597,1.04520805371038,0.295926822000355,-0.307183332323804,1.00913637030733,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","0.296"
"participant_engineering",1.23290213689089,0.496953000826647,0.251221167886001,2.48092301453063,0.0131042672050714,0.25887425527066,2.20693001851111,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.013*"
"sex_man",0.103649263362824,0.501097923233231,0.252945020066547,0.206844328338158,0.836131435681844,-0.878502666174308,1.08580119289996,"Man (ref = woman)","Tobit","Cluster-robust standard errors by participant id","","0.836"
"age",0.149856464795751,0.100368053947336,0.0495390189297498,1.49306934728834,0.135419035288248,-0.0468649209410287,0.34657785053253,"Age","Tobit","Cluster-robust standard errors by participant id","","0.135"
"economic_status",0.4461938954639,0.231063466504374,0.115962101097137,1.93104475672468,0.0534775177761214,-0.00669049888467194,0.899078289812473,"Socioeconomic status","Tobit","Cluster-robust standard errors by participant id","+","0.053+"
"factor(negotiator_slot)2",0.34733998642238,0.236675999667532,0.240675933398636,1.46757587127678,0.142219466137715,-0.116544972925982,0.811224945770743,"Negotiator 2 (ref = negotiator 1)","Tobit","Cluster-robust standard errors by participant id","","0.142"
"judged_outgroup:decision_accept",-0.48592451090923,0.598174682980646,0.597839953239558,-0.812345498288085,0.416593410200515,-1.6583468895513,0.686497867732836,"Accepted harmful deal x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.417"
"judged_control:decision_accept",0.203467753891421,0.600748548215319,0.58716062750048,0.338690379686934,0.734842988682355,-0.973999400610604,1.38093490839345,"Accepted harmful deal x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.735"
"iri_total:judged_outgroup",-0.63357836003904,0.565144929283931,0.645751095356626,-1.12109005532761,0.262249531298758,-1.74126242143554,0.474105701357465,"Empathy x judged negotiator outgroup","Tobit","Cluster-robust standard errors by participant id","","0.262"
"iri_total:judged_control",0.33717875647678,0.637334797795466,0.626770816862546,0.529044950382558,0.59677426805393,-0.911997447202334,1.58635496015589,"Empathy x judged negotiator control label hidden","Tobit","Cluster-robust standard errors by participant id","","0.597"
"Log(scale)",1.94628549337598,0.0484494012023274,0.0164806287469349,40.1715076982724,0,1.85132466701942,2.04124631973254,"Scale variance (log)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
