"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",-5.94798657918483,2.35825612368078,NA,-2.52219702493603,0.0116624366335508,-10.5701685815992,-1.3258045767705,"Baseline judgment","Base","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","*","0.012*"
"iri_fs",0.771324832086291,0.499001899666966,NA,1.54573526193202,0.12216851748045,-0.206718891260963,1.74936855543354,"Empathy: Fantasy scale","FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.122"
"iri_ec",-0.58797100520865,0.747019621812662,NA,-0.787089104543095,0.431229707021009,-2.05212946396147,0.876187453544168,"Empathy: Empathic concern","EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.431"
"iri_pt",1.34368706292447,0.688774702214871,NA,1.95083683910518,0.0510764580312555,-0.00631135341667521,2.69368547926562,"Empathy: Perspective taking","PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.051+"
"iri_pd",0.259096646968565,0.59499700212811,NA,0.435458743559817,0.663229478979798,-0.907097477202531,1.42529077113966,"Empathy: Personal distress","PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.663"
"bystander_victim_groupOut",-2.33621109603782,1.64624921682626,NA,-1.41911143960433,0.155866529328316,-5.56285956101729,0.890437368941662,"Bystander-victim: Outgroup (ref = Ingroup)","B-V Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.156"
"bystander_N1_groupIn",4.27311560639409,2.21833373373327,NA,1.92627265294425,0.0540703382191495,-0.0748185117231088,8.6210497245113,"Bystander-N1: Ingroup (ref = Control)","B-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.054+"
"bystander_N1_groupOut",3.32511798472444,1.94542987670125,NA,1.7091944688146,0.0874149331010377,-0.487924573610002,7.13816054305888,"Bystander-N1: Outgroup (ref = Control)","B-N1 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.087+"
"bystander_N2_groupIn",1.41862597760229,2.12293300956298,NA,0.668238692041594,0.503981240875609,-2.74232272114115,5.57957467634574,"Bystander-N2: Ingroup (ref = Control)","B-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.504"
"bystander_N2_groupOut",2.10401556933231,1.90605238672515,NA,1.10386030519722,0.2696537402911,-1.63184710864899,5.83987824731361,"Bystander-N2: Outgroup (ref = Control)","B-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.270"
"victim_N1_groupIn",-0.371722779868304,0.837361342270239,NA,-0.443921591675699,0.657099273363237,-2.01295101071797,1.26950545098136,"Victim-N1: Ingroup (ref = Control)","V-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.657"
"victim_N2_groupIn",1.58903999061823,0.831682772544118,NA,1.91063232650276,0.0560518470629646,-0.0410582435682374,3.21913822480471,"Victim-N2: Ingroup (ref = Control)","V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.056+"
"N1_N2_same_faculty",0.670647675046619,0.501499946570153,NA,1.33728364206875,0.181130068453396,-0.312292220230881,1.65358757032412,"N1 and N2 same faculty","SameFac","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.181"
"participant_engineering",0.414494763334692,0.368011356182434,NA,1.12630970857653,0.260034449780816,-0.306807494782878,1.13579702145226,"Engineering participant","Eng part.","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.260"
"sex_man",0.544242253810729,0.379561573996554,NA,1.43387078960651,0.151609139012103,-0.199698431222518,1.28818293884398,"Man participant","Man","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.152"
"age",0.176042607714209,0.0558597167844516,NA,3.15151271520965,0.00162427090399248,0.0665575628166839,0.285527652611734,"Age","Age","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","**","0.002**"
"economic_status",0.0609363576537379,0.169907952390202,NA,0.358643352453537,0.719861910848475,-0.272083229031058,0.393955944338534,"Economic status","SES","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.720"
"bystander_N1_groupIn:bystander_N2_groupIn",-1.42518202023843,1.04539842477362,NA,-1.3632907669122,0.172790890762954,-3.47416293279473,0.623798892317861,"Bystander-N1: Ingroup (ref = Control) x Bystander-N2: Ingroup (ref = Control)","B-N1 In x B-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.173"
"bystander_N1_groupOut:bystander_N2_groupIn",1.61920239606675,0.937803769700798,NA,1.72658977110249,0.0842413642800292,-0.218892992546814,3.45729778468031,"Bystander-N1: Outgroup (ref = Control) x Bystander-N2: Ingroup (ref = Control)","B-N1 Out x B-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.084+"
"bystander_N1_groupIn:bystander_N2_groupOut",0.216158915623631,0.944982557788533,NA,0.228743815260983,0.819068037844458,-1.63600689764189,2.06832472888916,"Bystander-N1: Ingroup (ref = Control) x Bystander-N2: Outgroup (ref = Control)","B-N1 In x B-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.819"
"bystander_victim_groupOut:bystander_N1_groupIn",1.25625138080263,1.21149202840968,NA,1.03694564334171,0.299761190450479,-1.11827299488035,3.63077575648561,"Bystander-N1: Ingroup (ref = Control) x Bystander-victim: Outgroup (ref = Ingroup)","B-N1 In x B-V Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.300"
