"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",-5.46391366036872,NA,NA,NA,NA,NA,NA,"Intercept","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs",-0.745371315982138,NA,NA,NA,NA,NA,NA,"Empathy: Fantasy scale","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec",0.546588736548853,NA,NA,NA,NA,NA,NA,"Empathy: Empathic concern","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt",1.65982147224944,NA,NA,NA,NA,NA,NA,"Empathy: Perspective taking","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd",-0.127627975556056,NA,NA,NA,NA,NA,NA,"Empathy: Personal distress","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_outgroup",3.39890132127391,NA,NA,NA,NA,NA,NA,"Judged negotiator outgroup (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_control",2.68230423541655,NA,NA,NA,NA,NA,NA,"Judged negotiator control label hidden (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"decision_accept",-14.8080312333212,NA,NA,NA,NA,NA,NA,"Negotiator accepted harmful deal","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"counterpart_outgroup",-0.277396423922435,NA,NA,NA,NA,NA,NA,"Counterpart negotiator outgroup (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"counterpart_control",-0.0547511617767122,NA,NA,NA,NA,NA,NA,"Counterpart negotiator control label hidden (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"observer_victim_outgroup",0.0570213708761346,NA,NA,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"role_observer",0.267469846137487,NA,NA,NA,NA,NA,NA,"Observer role (ref = victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"participant_engineering",-0.137123716706105,NA,NA,NA,NA,NA,NA,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"sex_man",-0.00356694143571207,NA,NA,NA,NA,NA,NA,"Man (ref = woman)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"age",0.584256519367841,NA,NA,NA,NA,NA,NA,"Age","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"economic_status",0.274762477224521,NA,NA,NA,NA,NA,NA,"Socioeconomic status","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"factor(negotiator_slot)2",0.253978253692686,NA,NA,NA,NA,NA,NA,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_outgroup:decision_accept",-0.600456832814179,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_control:decision_accept",0.192476062622426,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs:judged_outgroup",0.319667479190025,NA,NA,NA,NA,NA,NA,"Fantasy x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec:judged_outgroup",-1.88815894350242,NA,NA,NA,NA,NA,NA,"Empathic concern x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt:judged_outgroup",-0.656636568611594,NA,NA,NA,NA,NA,NA,"Perspective taking x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd:judged_outgroup",1.1923021064967,NA,NA,NA,NA,NA,NA,"Personal distress x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs:judged_control",0.715366320416097,NA,NA,NA,NA,NA,NA,"Fantasy x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec:judged_control",-1.34934782066867,NA,NA,NA,NA,NA,NA,"Empathic concern x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt:judged_control",-0.645356103880853,NA,NA,NA,NA,NA,NA,"Perspective taking x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd:judged_control",0.367370499466862,NA,NA,NA,NA,NA,NA,"Personal distress x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
