"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",-4.4545468620641,NA,NA,NA,NA,NA,NA,"Intercept","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs",-0.141288779738755,NA,NA,NA,NA,NA,NA,"Empathy: Fantasy scale","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec",-0.596200542011645,NA,NA,NA,NA,NA,NA,"Empathy: Empathic concern","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt",2.38243185974813,NA,NA,NA,NA,NA,NA,"Empathy: Perspective taking","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd",0.732950519686032,NA,NA,NA,NA,NA,NA,"Empathy: Personal distress","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_outgroup",2.96794680533802,NA,NA,NA,NA,NA,NA,"Judged negotiator outgroup (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_control",6.03678503984592,NA,NA,NA,NA,NA,NA,"Judged negotiator control label hidden (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"decision_accept",-15.4794148249318,NA,NA,NA,NA,NA,NA,"Negotiator accepted harmful deal","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"counterpart_outgroup",-1.24995664183773,NA,NA,NA,NA,NA,NA,"Counterpart negotiator outgroup (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"counterpart_control",-1.21911619383667,NA,NA,NA,NA,NA,NA,"Counterpart negotiator control label hidden (ref = ingroup)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"observer_victim_outgroup",NA,NA,NA,NA,NA,NA,NA,"Observer-side victim outgroup (ref = ingroup victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"role_observer",NA,NA,NA,NA,NA,NA,NA,"Observer role (ref = victim)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"participant_engineering",-0.36065261001239,NA,NA,NA,NA,NA,NA,"Engineering participant (ref = humanities)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"sex_man",-0.0088138232875662,NA,NA,NA,NA,NA,NA,"Man (ref = woman)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"age",0.528775592256778,NA,NA,NA,NA,NA,NA,"Age","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"economic_status",-0.0889968547782126,NA,NA,NA,NA,NA,NA,"Socioeconomic status","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"factor(negotiator_slot)2",0.26769074265151,NA,NA,NA,NA,NA,NA,"Negotiator 2 (ref = negotiator 1)","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_outgroup:decision_accept",-0.416691743802453,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"judged_control:decision_accept",0.230935837783158,NA,NA,NA,NA,NA,NA,"Accepted harmful deal x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs:judged_outgroup",0.356960843588786,NA,NA,NA,NA,NA,NA,"Fantasy x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec:judged_outgroup",-1.4246714348026,NA,NA,NA,NA,NA,NA,"Empathic concern x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt:judged_outgroup",-0.602099447472282,NA,NA,NA,NA,NA,NA,"Perspective taking x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd:judged_outgroup",0.707013613134726,NA,NA,NA,NA,NA,NA,"Personal distress x judged negotiator outgroup","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_fs:judged_control",0.184826241894984,NA,NA,NA,NA,NA,NA,"Fantasy x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_ec:judged_control",-0.971624687817677,NA,NA,NA,NA,NA,NA,"Empathic concern x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pt:judged_control",-1.56227890857322,NA,NA,NA,NA,NA,NA,"Perspective taking x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
"iri_pd:judged_control",-0.200615434717216,NA,NA,NA,NA,NA,NA,"Personal distress x judged negotiator control label hidden","CLAD","Cluster bootstrap skipped because the full-sample non-parametric fit did not converge","","NA"
