"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",0.16103365036297,2.38012376149958,NA,0.0676576793895425,0.946058139029688,-4.50400892217621,4.82607622290215,"Baseline judgment","Base","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.946"
"iri_fs",0.0893231145557009,0.464606743229633,NA,0.192255312384807,0.847542220905638,-0.821306102174381,0.999952331285782,"Empathy: Fantasy scale","FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.848"
"iri_ec",0.290792277953219,0.691652033668658,NA,0.420431465242429,0.674170285968578,-1.06484570803735,1.64643026394379,"Empathy: Empathic concern","EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.674"
"iri_pt",-0.0383197039048599,0.669106329703873,NA,-0.0572699766893838,0.954330136217727,-1.34976811012445,1.27312870231473,"Empathy: Perspective taking","PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.954"
"iri_pd",-0.408608933684091,0.580739103694038,NA,-0.70360155030884,0.481680945626018,-1.54685757692441,0.729639709556223,"Empathy: Personal distress","PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.482"
"victim_N1_groupIn",-1.7262868072184,1.99922776350268,NA,-0.863476807761971,0.387875365465138,-5.64477322368365,2.19219960924685,"Victim-N1: Ingroup (ref = Control)","V-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.388"
"victim_N1_groupOut",-0.900265718556973,1.92938908047142,NA,-0.466606620545923,0.640781349418497,-4.68186831628095,2.881336879167,"Victim-N1: Outgroup (ref = Control)","V-N1 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.641"
"victim_N2_groupIn",-1.15504746946534,1.96788299292507,NA,-0.586949261525183,0.557237783745107,-5.01209813559848,2.70200319666781,"Victim-N2: Ingroup (ref = Control)","V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.557"
"victim_N2_groupOut",0.100095328196527,1.90431165544964,NA,0.0525624720670488,0.958080518566244,-3.63235551648477,3.83254617287782,"Victim-N2: Outgroup (ref = Control)","V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.958"
"N1_N2_same_faculty",0.574951386351996,0.435255337004719,NA,1.32095195043125,0.18651738606307,-0.278149074177254,1.42805184688125,"N1 and N2 same faculty","SameFac","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.187"
"participant_engineering",0.765651118570479,0.40927387979718,NA,1.87075490610323,0.0613790605665731,-0.036525685831994,1.56782792297295,"Engineering participant","Eng part.","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.061+"
