"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","approach","inference","p_symbol","p_value_display"
"(Intercept)",3.02032768167018,2.76145732837872,1.56472843143251,1.09374410773294,0.274067223564984,-2.39212868195212,8.43278404529248,"Intercept","Tobit","Cluster-robust standard errors by participant id","","0.274"
"iri_fs",-0.834228436486333,0.574626633496005,0.423064738583247,-1.45177474878065,0.146564247272323,-1.9604966381385,0.292039765165837,"Empathy: Fantasy scale","Tobit","Cluster-robust standard errors by participant id","","0.147"
"iri_ec",-0.857259077545858,0.830444424787553,0.546945293500416,-1.03228952107802,0.30193650855704,-2.48493015012946,0.770411995037746,"Empathy: Empathic concern","Tobit","Cluster-robust standard errors by participant id","","0.302"
"iri_pt",1.79216624078956,0.667051488134471,0.450508494614965,2.68669851228676,0.0072162053984415,0.484745324045992,3.09958715753312,"Empathy: Perspective taking","Tobit","Cluster-robust standard errors by participant id","**","0.007**"
"iri_pd",0.437542217136811,0.693594125805651,0.478584440193721,0.630833221992155,0.528149578570194,-0.921902269442266,1.79698670371589,"Empathy: Personal distress","Tobit","Cluster-robust standard errors by participant id","","0.528"
"judged_outgroup",2.67308787201715,1.44483436511305,1.58089392234904,1.85009987065749,0.064299156588159,-0.158787483604424,5.50496322763872,"Judged negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","+","0.064+"
"judged_control",0.127147579212463,1.80385434865634,1.55056919467354,0.0704866106884811,0.943806357165732,-3.40840694415396,3.66270210257889,"Judged negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.944"
"decision_accept",-13.9608224314216,0.920514725360893,0.426081159474234,-15.1663216750261,5.90971961276118e-52,-15.765031293129,-12.1566135697143,"Negotiator accepted harmful deal","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.0390735620187017,0.27603075750911,0.296191526721627,-0.141555101943348,0.887431433165676,-0.580093846736558,0.501946722699155,"Counterpart negotiator outgroup (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.887"
"counterpart_control",0.133867569850555,0.282810937682303,0.290812520673437,0.473346508263183,0.635965986317693,-0.420441868006759,0.688177007707869,"Counterpart negotiator control label hidden (ref = ingroup)","Tobit","Cluster-robust standard errors by participant id","","0.636"
"observer_victim_outgroup",-0.117444178500915,0.373313241192704,0.338086435597914,-0.314599552176856,0.753065719222743,-0.849138131238614,0.614249774236784,"Observer-side victim outgroup (ref = ingroup victim)","Tobit","Cluster-robust standard errors by participant id","","0.753"
"role_observer",0.378306843961818,0.336531959809619,0.289644704820732,1.1241334825252,0.260956402892068,-0.281295797265035,1.03790948518867,"Observer role (ref = victim)","Tobit","Cluster-robust standard errors by participant id","","0.261"
"participant_engineering",1.14636506246266,0.499032469921189,0.254936839052425,2.29717529731824,0.0216087717217919,0.16826142141713,2.12446870350819,"Engineering participant (ref = humanities)","Tobit","Cluster-robust standard errors by participant id","*","0.022*"
