"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label"
"(Intercept)",12.0481611538628,2.85847367355548,1.80163424788483,4.21489316670067,2.49896454607741e-05,6.44555275369401,17.6507695540315,"Intercept"
"decision_accept",-13.7180013479932,1.6692463549728,0.506667736223675,-8.21808075669974,2.06785709010942e-16,-16.9897242037398,-10.4462784922465,"Negotiator accepted harmful deal"
"iri_total_z",0.285652134366773,0.540723837712579,0.474536982951223,0.528277309865172,0.597306877751747,-0.774166587549882,1.34547085628343,"Empathy composite (z)"
"perp_outgroup",-0.717367082826218,0.511684838545426,0.587384587153328,-1.40197056622879,0.160924036301997,-1.72026936637525,0.285535200722817,"Outgroup perpetrator (ref = ingroup)"
"perp_control",-0.769940618421263,0.580466183960887,0.586915467266889,-1.32641769614807,0.184701380409409,-1.9076543389846,0.367773102142075,"Control label hidden (ref = ingroup)"
"victim_outgroup",-0.727284824362394,0.773540379715655,0.674402141608263,-0.94020279152038,0.347113550184266,-2.24342396860508,0.78885431988029,"Victim outgroup (ref = ingroup)"
"role_observer",0.701087407275414,0.832426300000939,0.584723369990499,0.842221596403938,0.399663927470157,-0.930468140726426,2.33264295527725,"Observer role (ref = victim)"
"participant_engineering",1.22811426298065,0.774875646498465,0.578995519707321,1.5849178749265,0.112984994686566,-0.290642004156343,2.74687053011764,"Engineering participant (ref = humanities)"
"sex_man",-1.07041657322372,0.916338089951218,0.582147207035346,-1.16814588955994,0.242747922568708,-2.86643922952811,0.725606083080663,"Man (ref = woman)"
"age",0.0247922370510795,0.126455111554547,0.0597174279019928,0.196055633863289,0.844566621328713,-0.223059781595832,0.272644255697991,"Age"
"economic_status",-0.858738101647273,0.389755491887889,0.240082279600514,-2.20327389740613,0.0275754495882321,-1.62265886574754,-0.0948173375470102,"Socioeconomic status"
"factor(stage)2",0.00554789687842624,0.985210555328241,1.05479892372736,0.00563117888701249,0.995506993052619,-1.92546479156493,1.93656058532178,"Stage 2 (ref = stage 1)"
"factor(stage)3",-0.80581014778366,1.05648027509659,1.05493649929468,-0.762730896901965,0.44562390026246,-2.87651148697298,1.26489119140566,"Stage 3 (ref = stage 1)"
"factor(stage)4",-0.891785188338569,1.08419608679882,1.06389701476176,-0.822531273813796,0.410774595122194,-3.01680951846426,1.23323914178712,"Stage 4 (ref = stage 1)"
"factor(stage)5",-0.706934420497007,0.95222589183455,1.06031182646865,-0.742402014647001,0.457843799293916,-2.57329716849272,1.15942832749871,"Stage 5 (ref = stage 1)"
"factor(stage)6",-0.0100733618397022,0.985799144119543,1.05656503284748,-0.0102184729006831,0.991846980123712,-1.94223968431401,1.9220929606346,"Stage 6 (ref = stage 1)"
"factor(stage)7",-2.09271976606032,1.0842986949561,1.04237504979944,-1.93002147452096,0.0536041770119666,-4.21794520817428,0.0325056760536326,"Stage 7 (ref = stage 1)"
"factor(stage)8",-0.955889519920191,1.09141816764574,1.06496708789553,-0.875823353739935,0.38112607209163,-3.09506912850585,1.18329008866547,"Stage 8 (ref = stage 1)"
"factor(stage)9",-1.14370766446244,1.14637513275894,1.05784352723582,-0.997673127914005,0.318437887821004,-3.39060292466996,1.10318759574508,"Stage 9 (ref = stage 1)"
"factor(stage)10",-0.331028471044322,1.10093626095701,1.05394737272104,-0.30067905180684,0.763659244246599,-2.48886354252007,1.82680660043143,"Stage 10 (ref = stage 1)"
"factor(negotiator_slot)2",-0.168825362845309,0.466621862395291,0.47410997346017,-0.361803371103712,0.71749897280217,-1.08340421314008,0.745753487449462,"Negotiator 2 (ref = negotiator 1)"
"iri_total_z:perp_outgroup",-0.299776156391075,0.458276591685026,0.613476229276013,-0.654138050754098,0.513022868734564,-1.19799827609373,0.598445963311577,"Empathy x outgroup perpetrator"
"iri_total_z:perp_control",-0.714224873972923,0.517183994460864,0.610280013550642,-1.38098796873531,0.167282659964239,-1.72790550311622,0.299455755170371,"Empathy x control label hidden"
"Log(scale)",2.00930988482122,0.104687205647884,0.0310483036219193,19.1934618216818,4.19725982300102e-82,1.80412296175137,2.21449680789108,"Log(scale)"
