"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label"
"(Intercept)",0.507923715792084,5.08986755250565,2.60274577694867,0.0997911459487865,0.920510137471616,-9.46821668711899,10.4840641187032,"Intercept"
"iri_total_z",-0.787806531917379,1.05923434355449,0.622123406346243,-0.743750933597681,0.457027169336652,-2.86390584528418,1.28829278144942,"Empathy composite (z)"
"perp_outgroup",0.0815533812383616,0.690804591481124,0.816226341669898,0.118055644452951,0.906023568202536,-1.27242361806464,1.43553038054136,"Outgroup perpetrator (ref = ingroup)"
"perp_control",0.138946123485194,0.807054378357923,0.792530639737983,0.172164512344139,0.863308196305003,-1.44288045809633,1.72077270506672,"Control label hidden (ref = ingroup)"
"victim_outgroup",-2.41712658063043,1.23316215979046,0.950152001740256,-1.96010440430734,0.0499835885723125,-4.83412441381973,-0.000128747441136667,"Victim outgroup (ref = ingroup)"
"role_observer",2.88999939964141,1.3938347201887,0.813145665695843,2.07341613591758,0.0381335685285086,0.158083348071558,5.62191545121126,"Observer role (ref = victim)"
"participant_engineering",-1.27856907953252,1.80092147103381,0.790048499714556,-0.709952710374742,0.47773346194163,-4.80837516275879,2.25123700369375,"Engineering participant (ref = humanities)"
"sex_man",-1.82127937259624,1.76132055139364,0.800185640015665,-1.03404196990443,0.301116542992183,-5.27346765332778,1.6309089081353,"Man (ref = woman)"
"age",-0.0890394133895213,0.217696238398669,0.0916377080948307,-0.409007588024845,0.682534092580299,-0.515724040650913,0.33764521387187,"Age"
"economic_status",-0.434615626159481,0.75952742628398,0.335450081354253,-0.57221847575124,0.56717397215005,-1.92328938167608,1.05405812935712,"Socioeconomic status"
"factor(stage)2",0.769418057733705,1.05618912892949,1.41988788868129,0.728485113753782,0.466316677962149,-1.30071263496809,2.8395487504355,"Stage 2 (ref = stage 1)"
"factor(stage)3",-1.13181056059044,1.4496993061086,1.3902091031285,-0.780720909378469,0.434966659977262,-3.9732212005633,1.70960007938242,"Stage 3 (ref = stage 1)"
"factor(stage)4",-2.21370100825204,1.52779346750697,1.51359677757103,-1.4489530524465,0.147350693862035,-5.20817620456569,0.780774188061616,"Stage 4 (ref = stage 1)"
"factor(stage)5",-1.78814230463247,1.25007369372302,1.43034331784085,-1.43042951276492,0.152593782854623,-4.23828674432959,0.662002135064657,"Stage 5 (ref = stage 1)"
"factor(stage)6",-0.749230644717566,1.34797109009961,1.42660585498219,-0.555821004041118,0.578333225309728,-3.39125398131281,1.89279269187767,"Stage 6 (ref = stage 1)"
"factor(stage)7",-1.45360855350478,1.23675302954284,1.36097157151979,-1.17534262603916,0.239857667359486,-3.87764449140875,0.970427384399195,"Stage 7 (ref = stage 1)"
"factor(stage)8",-3.17831560116808,1.40692800372583,1.44149047064061,-2.25904637106607,0.0238805005495876,-5.93589448847071,-0.420736713865447,"Stage 8 (ref = stage 1)"
"factor(stage)9",-2.73287230614884,1.35784888873598,1.50143202126173,-2.01264833577532,0.0441516381241796,-5.39425612807137,-0.0714884842263177,"Stage 9 (ref = stage 1)"
"factor(stage)10",-1.12216353469565,1.35943711017446,1.40236504484188,-0.825461896175275,0.409109406910724,-3.78666027063759,1.5423332012463,"Stage 10 (ref = stage 1)"
"factor(negotiator_slot)2",0.00243443128082808,0.484991426245391,0.653150321312632,0.00501953467440542,0.995995007599001,-0.948148764160137,0.953017626721794,"Negotiator 2 (ref = negotiator 1)"
"iri_total_z:perp_outgroup",-0.450176563641157,0.820890028296701,0.835948447681539,-0.548400575135804,0.583416881625527,-2.05912101910269,1.15876789182038,"Empathy x outgroup perpetrator"
"iri_total_z:perp_control",-0.449887208069192,0.733187319217905,0.803272012765892,-0.613604731392639,0.539476556232907,-1.88693435373629,0.987159937597902,"Empathy x control label hidden"
"Log(scale)",1.99883289636944,0.100215923131321,0.0403464660757043,19.9452625282931,1.64782854146681e-88,1.80240968703205,2.19525610570683,"Log(scale)"
