"Sample","Predictor","Figure","FigureType","Tobit support","Non-parametric support","Supporting models"
"Accepted-decision sample","Observer role (ref = victim)","figure_sig_all_accepted_decision_sample_role_observer.png","grouped prediction plot","H1: Empathy under relational controls Model B*; H1: Empathy under relational controls Model A*","None","H1: Empathy under relational controls Model B (Tobit) and H1: Empathy under relational controls Model A (Tobit)"
"Accepted-decision sample","Empathy: Empathic concern","figure_sig_all_accepted_decision_sample_iri_ec.png","effect plot","H1: Empathy under relational controls Model B*","None","H1: Empathy under relational controls Model B (Tobit)"
"Accepted-decision sample","Age","figure_sig_all_accepted_decision_sample_age.png","effect plot","H1: Empathy under relational controls Model A*; H1: Empathy under relational controls Model B+","None","H1: Empathy under relational controls Model A (Tobit) and H1: Empathy under relational controls Model B (Tobit)"
"Accepted-decision sample","Empathy: Perspective taking","figure_sig_all_accepted_decision_sample_iri_pt.png","effect plot","H1: Empathy under relational controls Model B*","None","H1: Empathy under relational controls Model B (Tobit)"
"Accepted-decision sample","Engineering participant (ref = humanities)","figure_sig_all_accepted_decision_sample_participant_engineering.png","grouped prediction plot","H1: Empathy under relational controls Model A+; H1: Empathy under relational controls Model B+","None","H1: Empathy under relational controls Model A (Tobit) and H1: Empathy under relational controls Model B (Tobit)"
"Betrayal sample","Negotiator accepted harmful deal","figure_sig_all_betrayal_sample_decision_accept.png","grouped prediction plot","H2: Judged-status x decision contrasts Model A***; H2: Judged-status x decision contrasts Model B***","None","H2: Judged-status x decision contrasts Model A (Tobit) and H2: Judged-status x decision contrasts Model B (Tobit)"
"Betrayal sample","Empathy: Perspective taking","figure_sig_all_betrayal_sample_iri_pt.png","effect plot","H2: Judged-status x decision contrasts Model B*","None","H2: Judged-status x decision contrasts Model B (Tobit)"
"Betrayal sample","Socioeconomic status","figure_sig_all_betrayal_sample_economic_status.png","grouped prediction plot","H2: Judged-status x decision contrasts Model A*; H2: Judged-status x decision contrasts Model B+","None","H2: Judged-status x decision contrasts Model A (Tobit) and H2: Judged-status x decision contrasts Model B (Tobit)"
"Betrayal sample","Empathy: Empathic concern","figure_sig_all_betrayal_sample_iri_ec.png","effect plot","H2: Judged-status x decision contrasts Model B+","None","H2: Judged-status x decision contrasts Model B (Tobit)"
"Full judgment sample","Negotiator accepted harmful deal","figure_sig_all_full_judgment_sample_decision_accept.png","grouped prediction plot","H2: Judged-status x decision contrasts Model B***; H3: Empathy x judged-status moderation Model B***; H2: Judged-status x decision contrasts Model A***; H3: Empathy x judged-status moderation Model A***","None","H2: Judged-status x decision contrasts Model B (Tobit), H3: Empathy x judged-status moderation Model B (Tobit), H2: Judged-status x decision contrasts Model A (Tobit), and H3: Empathy x judged-status moderation Model A (Tobit)"
"Full judgment sample","Personal distress x judged negotiator outgroup","figure_sig_all_full_judgment_sample_iri_pd_judged_outgroup.png","interaction plot","H3: Empathy x judged-status moderation Model B**","None","H3: Empathy x judged-status moderation Model B (Tobit)"
"Full judgment sample","Empathy: Perspective taking","figure_sig_all_full_judgment_sample_iri_pt.png","effect plot","H2: Judged-status x decision contrasts Model B**; H3: Empathy x judged-status moderation Model B**","None","H2: Judged-status x decision contrasts Model B (Tobit) and H3: Empathy x judged-status moderation Model B (Tobit)"
"Full judgment sample","Engineering participant (ref = humanities)","figure_sig_all_full_judgment_sample_participant_engineering.png","grouped prediction plot","H2: Judged-status x decision contrasts Model A*; H3: Empathy x judged-status moderation Model A*; H3: Empathy x judged-status moderation Model B*; H2: Judged-status x decision contrasts Model B*","None","H2: Judged-status x decision contrasts Model A (Tobit), H3: Empathy x judged-status moderation Model A (Tobit), H3: Empathy x judged-status moderation Model B (Tobit), and H2: Judged-status x decision contrasts Model B (Tobit)"
"Full judgment sample","Empathic concern x judged negotiator outgroup","figure_sig_all_full_judgment_sample_iri_ec_judged_outgroup.png","interaction plot","H3: Empathy x judged-status moderation Model B*","None","H3: Empathy x judged-status moderation Model B (Tobit)"
"Full judgment sample","Empathy: Empathic concern","figure_sig_all_full_judgment_sample_iri_ec.png","effect plot","H2: Judged-status x decision contrasts Model B*","None","H2: Judged-status x decision contrasts Model B (Tobit)"
"Full judgment sample","Socioeconomic status","figure_sig_all_full_judgment_sample_economic_status.png","grouped prediction plot","H3: Empathy x judged-status moderation Model A+; H2: Judged-status x decision contrasts Model A+","None","H3: Empathy x judged-status moderation Model A (Tobit) and H2: Judged-status x decision contrasts Model A (Tobit)"
"Full judgment sample","Judged negotiator outgroup (ref = ingroup)","figure_sig_all_full_judgment_sample_judged_outgroup.png","grouped prediction plot","H3: Empathy x judged-status moderation Model B+","None","H3: Empathy x judged-status moderation Model B (Tobit)"
"Full judgment sample","Empathy: Personal distress","figure_sig_all_full_judgment_sample_iri_pd.png","effect plot","H2: Judged-status x decision contrasts Model B+","None","H2: Judged-status x decision contrasts Model B (Tobit)"
