"variable","valor","n","porcentaje"
"victim_N1_group","ingroup",1682,"34.61%"
"victim_N1_group","outgroup",3178,"65.39%"
"victim_N2_group","ingroup",1578,"32.47%"
"victim_N2_group","outgroup",3282,"67.53%"
"bystander_victim_group","",2430,"50.00%"
"bystander_victim_group","ingroup",1212,"24.94%"
"bystander_victim_group","outgroup",1218,"25.06%"
"bystander_N1_group","",2430,"50.00%"
"bystander_N1_group","ingroup",812,"16.71%"
"bystander_N1_group","outgroup",1618,"33.29%"
"bystander_N2_group","",2430,"50.00%"
"bystander_N2_group","ingroup",798,"16.42%"
"bystander_N2_group","outgroup",1632,"33.58%"
"N1_N2_same_faculty","different",3276,"67.41%"
"N1_N2_same_faculty","same",1584,"32.59%"
"decision_pattern","both_accept",1214,"24.98%"
"decision_pattern","both_reject",1352,"27.82%"
"decision_pattern","target_accept_other_reject",1147,"23.60%"
"decision_pattern","target_reject_other_accept",1147,"23.60%"
