"columna","filas_totales","filas_iguales","diferencias","igualdad_pct"
"N1_faculty",4860,4860,0,"100.00%"
"N2_faculty",4860,4860,0,"100.00%"
"N1_decision",4860,4860,0,"100.00%"
"N2_decision",4860,4860,0,"100.00%"
"victim_N1_group",4860,4860,0,"100.00%"
"victim_N2_group",4860,4860,0,"100.00%"
"bystander_victim_group",4860,2430,2430,"50.00%"
"bystander_N1_group",4860,2430,2430,"50.00%"
"bystander_N2_group",4860,2430,2430,"50.00%"
"N1_N2_same_faculty",4860,4860,0,"100.00%"
"decision_pattern",4860,4860,0,"100.00%"
