"case_configuration","role","decision_accept","Observations","MeanJudgement","SDJudgement","SEJudgement","Lower95","Upper95"
"Hum_x_Control","observer",0,168,6.41666666666667,4.06594836756992,0.313694726944469,5.80182500185551,7.03150833147783
"Hum_x_Hum","observer",0,142,6.87323943661972,3.49641996221744,0.293413045306929,6.29814986781814,7.4483290054213
"Hum_x_Ing","observer",0,157,6.17197452229299,3.5575458696595,0.28392306994672,5.61548530519742,6.72846373938857
"Ing_x_Control","observer",0,192,6.546875,3.41046904160845,0.24612940240444,6.0644613712873,7.0292886287127
"Ing_x_Hum","observer",0,169,5.75739644970414,4.50994486717824,0.346918835936787,5.07743553126804,6.43735736814025
"Ing_x_Ing","observer",0,187,6.63636363636364,3.60053216442482,0.263296988402664,6.12030153909441,7.15242573363286
"Hum_x_Control","victim",0,136,6.08823529411765,4.15348240901588,0.356158178280261,5.39016526468833,6.78630532354696
"Hum_x_Hum","victim",0,143,5.25874125874126,4.61582288867584,0.385994501026302,4.50219203672971,6.01529048075281
"Hum_x_Ing","victim",0,116,6.53448275862069,3.55926478603257,0.330469439051995,5.88676265807878,7.1822028591626
"Ing_x_Control","victim",0,207,6.743961352657,3.69559561504711,0.256861651421148,6.24051251587156,7.24741018944245
"Ing_x_Hum","victim",0,215,6.63720930232558,3.89086056212912,0.265354487904097,6.11711450603355,7.15730409861761
"Ing_x_Ing","victim",0,209,7.00478468899522,3.57542037288504,0.247316998632601,6.52004337167532,7.48952600631511
"Hum_x_Control","observer",1,137,-3.04379562043796,5.12328682002821,0.437711932737046,-3.90171100860257,-2.18588023227335
"Hum_x_Hum","observer",1,150,-3.57333333333333,4.45310639885828,0.363594614917517,-4.28597877857167,-2.860687888095
"Hum_x_Ing","observer",1,148,-3.75675675675676,4.97151289148747,0.408655842368035,-4.5577222077981,-2.95579130571541
"Ing_x_Control","observer",1,173,-3.01156069364162,4.76663359257746,0.362400441228788,-3.72186555845004,-2.30125582883319
"Ing_x_Hum","observer",1,178,-2.59550561797753,5.42065332882188,0.40629514450129,-3.39184410120006,-1.799167134755
"Ing_x_Ing","observer",1,189,-3.06349206349206,4.98574462269738,0.362659557606822,-3.77430479640143,-2.35267933058269
"Hum_x_Control","victim",1,129,-4.05426356589147,4.93126200492737,0.434173410156742,-4.90524344979869,-3.20328368198426
"Hum_x_Hum","victim",1,122,-3.4344262295082,4.84638010078551,0.438770638030233,-4.29441668004745,-2.57443577896894
"Hum_x_Ing","victim",1,126,-4.82539682539683,4.42733213586578,0.394418094996758,-5.59845629159047,-4.05233735920318
"Ing_x_Control","victim",1,238,-2.82352941176471,5.65781944074091,0.366741962867408,-3.54234365898483,-2.10471516454459
"Ing_x_Hum","victim",1,177,-3.42372881355932,5.60601358272315,0.421373784238376,-4.24962143066654,-2.5978361964521
"Ing_x_Ing","victim",1,172,-4.25,4.67808752846466,0.356700829990825,-4.94913362678202,-3.55086637321798
