"Hypothesis","Predictor","Figure","FigureType","Tobit (random intercepts) support"
"H1","PT","figure_sig_H1_iri_pt_h1_empathy_perspective_taking.png","effect plot","PT*"
"H2","B-V Out","figure_sig_H2_bystander_victim_groupout_h2_bystander_victim_outgroup_ref_ingroup.png","grouped prediction plot","B-V Out*"
"H2","V-N2 In","figure_sig_H2_victim_n2_groupin_h2_victim_n2_ingroup_ref_control.png","grouped prediction plot","V-N2 In+"
"H2","B-N2 Out","figure_sig_H2_bystander_n2_groupout_h2_bystander_n2_outgroup_ref_control.png","grouped prediction plot","B-N2 Out+"
"H2","B-N2 In","figure_sig_H2_bystander_n2_groupin_h2_bystander_n2_ingroup_ref_control.png","grouped prediction plot","B-N2 In+"
"H2","B-N1 In x B-N2 In","figure_sig_H2_bystander_n1_groupin_bystander_n2_groupin_h2_bystander_n1_ingroup_ref_control_x_bystander_n2_ingroup_ref_control.png","interaction plot","B-N1 In x B-N2 In+"
"H3","PT x V-N1 Out","figure_sig_H3_iri_pt_victim_n1_groupout_h3_empathy_perspective_taking_x_victim_n1_outgroup_ref_control.png","interaction plot","PT x V-N1 Out*"
"H3","EC x V-N1 Out","figure_sig_H3_iri_ec_victim_n1_groupout_h3_empathy_empathic_concern_x_victim_n1_outgroup_ref_control.png","interaction plot","EC x V-N1 Out*"
"H3","B-N1 Out x FS","figure_sig_H3_bystander_n1_groupout_iri_fs_h3_bystander_n1_outgroup_ref_control_x_empathy_fantasy_scale.png","interaction plot","B-N1 Out x FS*"
"H3","B-V Out x PD","figure_sig_H3_bystander_victim_groupout_iri_pd_h3_bystander_victim_outgroup_ref_ingroup_x_empathy_personal_distress.png","interaction plot","B-V Out x PD+"
"H3","B-N2 Out x PT","figure_sig_H3_bystander_n2_groupout_iri_pt_h3_bystander_n2_outgroup_ref_control_x_empathy_perspective_taking.png","interaction plot","B-N2 Out x PT+"
