"hypothesis","role","variant","model_family","session_handling","dependence_adjustment","formula","n_obs","n_participants","n_sessions","n_cases","lower_censored_n","upper_censored_n","logLik","AIC","BIC","sigma","singular","dropped_columns","dropped_column_names","shapiro_p","convergence_messages"
"H1","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5503.35382114916,11062.7076422983,11224.8702812345,6.9082837082174,NA,0,NA,4.63194026184685e-17,NA
"H1","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5340.94972227573,10737.8994445515,10900.0620834877,7.59251141534131,NA,0,NA,1.54252877301082e-24,NA
"H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5500.90844894478,11065.8168978896,11251.1456281024,6.90088566081998,NA,0,NA,2.7273703414695e-17,NA
"H2","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5348.94845830941,10753.8969166188,10916.059555555,7.62393538891096,NA,0,NA,5.10568035662015e-25,NA
"H3","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_target_group + iri_fs:bystander_other_group + iri_ec:bystander_victim_group + iri_ec:bystander_target_group + iri_ec:bystander_other_group +      iri_pt:bystander_victim_group + iri_pt:bystander_target_group + iri_pt:bystander_other_group + iri_pd:bystander_victim_group + iri_pd:bystander_target_group + iri_pd:bystander_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5490.35778821373,11076.7155764275,11354.7086717467,6.86707824736753,NA,0,NA,1.20658132750224e-15,NA
"H3","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:victim_target_group + iri_fs:victim_other_group + iri_ec:victim_target_group + iri_ec:victim_other_group + iri_pt:victim_target_group + iri_pt:victim_other_group + iri_pd:victim_target_group + iri_pd:victim_other_group + accept_target * accept_other + age + ses + sex_female +      faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5334.0238483176,10748.0476966352,10979.7086094012,7.56565201432919,NA,0,NA,2.80590170518637e-23,NA
"H4","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5506.15595346427,11060.3119069285,11199.3084545882,6.91679028006472,NA,0,NA,6.97499658874471e-18,NA
"H4","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5349.95064361461,10747.9012872292,10886.8978348888,7.62623241117962,NA,0,NA,4.61968241015223e-25,NA
"H5","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:bystander_victim_group + iri_fs:bystander_target_group + iri_fs:bystander_other_group + iri_ec:bystander_victim_group + iri_ec:bystander_target_group + iri_ec:bystander_other_group +      iri_pt:bystander_victim_group + iri_pt:bystander_target_group + iri_pt:bystander_other_group + iri_pd:bystander_victim_group + iri_pd:bystander_target_group + iri_pd:bystander_other_group + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)",2420,243,16,1215,300,723,-5490.35778821373,11076.7155764275,11354.7086717467,6.86707824736753,NA,0,NA,1.20658132750224e-15,NA
"H5","Victim","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ iri_fs + iri_ec + iri_pt + iri_pd + victim_target_group + victim_other_group + victim_target_group:victim_other_group + target_other_same_faculty + iri_fs:victim_target_group + iri_fs:victim_other_group + iri_ec:victim_target_group + iri_ec:victim_other_group + iri_pt:victim_target_group + iri_pt:victim_other_group + iri_pd:victim_target_group + iri_pd:victim_other_group + accept_target * accept_other + age + ses + sex_female +      faculty_player_factor + factor(session)",2420,243,16,1215,377,744,-5334.0238483176,10748.0476966352,10979.7086094012,7.56565201432919,NA,0,NA,2.80590170518637e-23,NA
