"group_negotiator_judged","group_negotiator_counterpart","group_victim","role","decision_accept","Observations","MeanJudgement","SDJudgement","SEJudgement","Lower95","Upper95"
"Cont","Cont","In","observer",0,60,7.01666666666667,3.19157612976573,0.412030706624526,6.2090864816826,7.82424685165074
"In","Cont","In","observer",0,54,6.77777777777778,3.50561095618162,0.477053226630845,5.84275345358132,7.71280210197423
"Out","Cont","In","observer",0,63,6.66666666666667,4.05208031000247,0.510514132987049,5.66605896601205,7.66727436732128
"Cont","In","In","observer",0,62,6.7741935483871,3.42803941882337,0.435361441552227,5.92088512294473,7.62750197382946
"In","In","In","observer",0,73,6.68493150684932,3.93656898103739,0.460740549557319,5.78188002971697,7.58798298398166
"Out","In","In","observer",0,53,4.54716981132075,4.66808327382651,0.641210551052252,3.29039713125834,5.80394249138317
"Cont","Out","In","observer",0,67,6.94029850746269,3.30234350678665,0.403445471297777,6.14954538371904,7.73105163120633
"In","Out","In","observer",0,58,6.1551724137931,3.51838142680534,0.461986114593711,5.24967962918943,7.06066519839678
"Out","Out","In","observer",0,61,5.73770491803279,4.19484461112392,0.537094815811629,4.68499907904199,6.79041075702358
"Cont","Cont","Out","observer",0,54,6.33333333333333,3.84118692348239,0.522719331621276,5.30880344335563,7.35786322331103
"In","Cont","Out","observer",0,33,7.27272727272727,3.06464442546692,0.533486117922977,6.22709448159824,8.31836006385631
"Out","Cont","Out","observer",0,52,6.86538461538461,3.61927761264672,0.501903500482178,5.88165375443955,7.84911547632968
"Cont","In","Out","observer",0,59,6.47457627118644,3.46089450368458,0.450570086454214,5.59145890173618,7.3576936406367
"In","In","Out","observer",0,47,5.25531914893617,4.32619968335692,0.631041080031051,4.01847863207531,6.49215966579703
"Out","In","Out","observer",0,49,6.95918367346939,2.74589985002996,0.392271407147137,6.190331715461,7.72803563147778
"Cont","Out","Out","observer",0,58,5.25862068965517,4.85783990992309,0.637865629975597,4.008404054903,6.50883732440734
"In","Out","Out","observer",0,69,6.43478260869565,3.43202161684868,0.413166850153129,5.62497558239552,7.24458963499579
"Out","Out","Out","observer",0,43,7.16279069767442,3.79805860531867,0.579198507350544,6.02756162326735,8.29801977208149
"Cont","Cont","","victim",0,131,6.21374045801527,4.29491225591,0.375248226099178,5.47825393486088,6.94922698116966
"In","Cont","","victim",0,122,6.24590163934426,4.34334577095964,0.393228049694449,5.47517466194314,7.01662861674538
"Out","Cont","","victim",0,120,6.84166666666667,3.59737493772571,0.328393900199352,6.19801462227594,7.4853187110574
"Cont","In","","victim",0,99,6.48484848484848,3.68771716444905,0.370629520225177,5.75841462520714,7.21128234448983
"In","In","","victim",0,126,6.26984126984127,4.38253387603601,0.390427148810885,5.50460405817194,7.0350784815106
"Out","In","","victim",0,104,6.76923076923077,3.87982275951591,0.380447922308712,6.02355284150569,7.51490869695585
"Cont","Out","","victim",0,113,6.79646017699115,3.56861140470281,0.335706721955564,6.13847500195825,7.45444535202406
"In","Out","","victim",0,106,6.60377358490566,3.37971327406847,0.328266772192389,5.96037071140858,7.24717645840274
"Out","Out","","victim",0,105,5.94285714285714,3.94146734543936,0.384647826993854,5.18894740194919,6.6967668837651
"Cont","Cont","In","observer",1,54,-1.85185185185185,5.30363850687434,0.721733784556588,-3.26645006958276,-0.437253634120939
"In","Cont","In","observer",1,47,-3.04255319148936,4.33367725573695,0.63213179606269,-4.28153151177223,-1.80357487120649
"Out","Cont","In","observer",1,64,-3.484375,5.267426670601,0.658428333825125,-4.77489453429724,-2.19385546570276
"Cont","In","In","observer",1,39,-3.58974358974359,4.08925388071524,0.65480467435922,-4.87316075148766,-2.30632642799952
"In","In","In","observer",1,53,-4.30188679245283,4.59341043762432,0.630953448159871,-5.53855555084618,-3.06521803405948
"Out","In","In","observer",1,68,-2.75,5.35981454346123,0.649972985188598,-4.02394705096965,-1.47605294903035
"Cont","Out","In","observer",1,60,-3.2,5.40182015777545,0.697371983675728,-4.56684908800443,-1.83315091199557
"In","Out","In","observer",1,63,-2.3968253968254,5.34771486482531,0.673748743562437,-3.71737293420777,-1.07627785944302
"Out","Out","In","observer",1,33,-4.03030303030303,5.80670328416245,1.01081729653725,-6.01150493151605,-2.04910112909002
