"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",-2.38103937126249,3.00093518388863,-8.2628723316842,3.50079358915922,"0.428"
"Bystander-victim outgroup vs ingroup",-0.314698237076406,0.495288277984538,-1.2854632619261,0.656066787773288,"0.525"
"Bystander-N1 outgroup vs ingroup",1.13229350873273,1.07790886433656,-0.980407865366923,3.24499488283238,"0.294"
"Bystander-N2 outgroup vs ingroup",2.08480205040328,1.11976108615196,-0.109929678454549,4.27953377926112,"0.063+"
"Victim-N1 outgroup vs ingroup",-2.16779483561558,1.22708464144713,-4.57288073285194,0.237291061620787,"0.077+"
"Victim-N2 outgroup vs ingroup",-2.33056432298635,1.21387091949959,-4.70975132520554,0.0486226792328499,"0.055+"
"N1/N2 same faculty vs different",0.786062160948472,0.831479389863143,-0.843637443183287,2.41576176508023,"0.344"
"Age",0.325197080119974,0.101456898464355,0.126341559129839,0.524052601110109,"0.001**"
"Socioeconomic status",0.466142362311104,0.299161415865489,-0.120214012785255,1.05249873740746,"0.119"
"Woman participant",-0.901843072762862,0.661303272535461,-2.19799748693237,0.39431134140664,"0.173"
"Participant faculty: Engineering vs Humanities",1.0643891656104,0.64609764373495,-0.201962216110104,2.3307405473309,"0.099+"
"Bystander-N1 outgroup vs ingroup x Bystander-N2 outgroup vs ingroup",-2.35924582074478,1.40055642045617,-5.10433640483887,0.385844763349299,"0.092+"
"Victim-N1 outgroup vs ingroup x Victim-N2 outgroup vs ingroup",2.88357756223913,1.57822847046488,-0.20975023987204,5.9769053643503,"0.068+"
"Tobit log-scale",2.32648098140404,0.0569217067539603,2.21491443616628,2.4380475266418,"<0.001***"
