"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",10.1040463938558,2.66100526507516,4.88847607430846,15.3196167134031,"<0.001***"
"Victim-target outgroup vs ingroup",0.107096595875585,0.923849462100678,-1.70364834984174,1.91784154159291,"0.908"
"Victim-other outgroup vs ingroup",-0.0937266211576063,0.913370304327264,-1.88393241763904,1.69647917532383,"0.918"
"Target/other same faculty vs different",-0.312003013280677,0.576754591236634,-1.44244201210448,0.818435985543125,"0.589"
"Target accepted",-17.008715223814,1.07400567751153,-19.1137663517366,-14.9036640958914,"<0.001***"
"Other negotiator accepted",-3.96733825750742,0.707736874290549,-5.3545025311169,-2.58017398389794,"<0.001***"
"Age",0.0401280609832016,0.101892639929226,-0.159581513278082,0.239837635244485,"0.694"
"Socioeconomic status",0.270680747247837,0.271893942296476,-0.262231379653256,0.803592874148931,"0.319"
"Woman participant",0.472560664245395,0.547986424004039,-0.601492726802522,1.54661405529331,"0.388"
"Participant faculty: Engineering vs Humanities",1.37898142084812,0.59417099929267,0.214406262234484,2.54355657946175,"0.020*"
"Victim-target outgroup vs ingroup x Victim-other outgroup vs ingroup",-0.290069678611577,1.22353786389897,-2.68820389185355,2.1080645346304,"0.813"
"Target accepted x Other accepted",4.56415409966689,0.773029048645994,3.04901716432074,6.07929103501304,"<0.001***"
"Tobit log-scale",2.03129269161911,0.0510123886975059,1.931308409772,2.13127697346622,"<0.001***"
