"predictor","compact_label","meaning"
"iri_fs","FS","Fantasy empathy dimension."
"iri_ec","EC","Empathic concern empathy dimension."
"iri_pt","PT","Perspective-taking empathy dimension."
"iri_pd","PD","Personal-distress empathy dimension."
"victim_N1_groupingroup","V-N1 In","Victim and N1 are from the same faculty."
"victim_N1_groupoutgroup","V-N1 Out","Victim and N1 are from different faculties."
"victim_N2_groupingroup","V-N2 In","Victim and N2 are from the same faculty."
"victim_N2_groupoutgroup","V-N2 Out","Victim and N2 are from different faculties."
"bystander_victim_groupoutgroup","B-V Out","Bystander and victim are from different faculties."
"bystander_N1_groupingroup","B-N1 In","Bystander and N1 are from the same faculty."
"bystander_N1_groupoutgroup","B-N1 Out","Bystander and N1 are from different faculties."
"bystander_N2_groupingroup","B-N2 In","Bystander and N2 are from the same faculty."
"bystander_N2_groupoutgroup","B-N2 Out","Bystander and N2 are from different faculties."
"N1_N2_same_facultysame","SameFac","N1 and N2 share faculty membership."
"iri_fs:victim_N1_groupoutgroup","FS x V-N1 Out","Fantasy slope difference when victim-N1 is outgroup rather than ingroup."
"iri_ec:victim_N2_groupoutgroup","EC x V-N2 Out","Empathic-concern slope difference when victim-N2 is outgroup rather than ingroup."
"iri_pt:bystander_victim_groupoutgroup","PT x B-V Out","Perspective-taking slope difference when the bystander-victim relation is outgroup rather than ingroup."
"iri_pd:bystander_N1_groupoutgroup","PD x B-N1 Out","Personal-distress slope difference when the bystander-N1 relation is outgroup rather than ingroup."
"decision_target","Target Acc","Target negotiator accepted the harmful deal."
"decision_other","Other Acc","Other negotiator accepted the harmful deal."
"decision_target:decision_other","Target x Other","Joint decision effect when both negotiator decisions are considered together."
"faculty_player_factorEngineering","Eng part.","Participant belongs to Engineering, relative to Humanities."
"sex_female","Woman","Participant is a woman."
"age","Age","Participant age."
"ses","SES","Participant socioeconomic status."
