"Predictor","Code"
"iri_fs","FS"
"iri_ec","EC"
"iri_pt","PT"
"iri_pd","PD"
"victim_target_groupingroup","V-Tgt In"
"victim_target_groupoutgroup","V-Tgt Out"
"victim_other_groupingroup","V-Oth In"
"victim_other_groupoutgroup","V-Oth Out"
"bystander_victim_groupoutgroup","B-V Out"
"bystander_target_groupingroup","B-Tgt In"
"bystander_target_groupoutgroup","B-Tgt Out"
"bystander_other_groupingroup","B-Oth In"
"bystander_other_groupoutgroup","B-Oth Out"
"target_other_same_facultysame","SameFac"
"iri_fs:victim_target_groupoutgroup","FS x V-Tgt Out"
"iri_ec:victim_other_groupoutgroup","EC x V-Oth Out"
"iri_pt:bystander_victim_groupoutgroup","PT x B-V Out"
"iri_pd:bystander_target_groupoutgroup","PD x B-Tgt Out"
"accept_target","Target Acc"
"accept_other","Other Acc"
"accept_target:accept_other","Target x Other"
"faculty_player_factorEngineering","Eng part."
"sex_female","Woman"
"age","Age"
"ses","SES"
