"Code","Interpretation"
"FS","Fantasy empathy dimension."
"EC","Empathic concern empathy dimension."
"PT","Perspective-taking empathy dimension."
"PD","Personal-distress empathy dimension."
"V-Tgt In","Victim and target are from the same faculty."
"V-Tgt Out","Victim and target are from different faculties."
"V-Oth In","Victim and other are from the same faculty."
"V-Oth Out","Victim and other are from different faculties."
"B-V Out","Bystander and victim are from different faculties."
"B-Tgt In","Bystander and target are from the same faculty."
"B-Tgt Out","Bystander and target are from different faculties."
"B-Oth In","Bystander and other are from the same faculty."
"B-Oth Out","Bystander and other are from different faculties."
"SameFac","Target and other share faculty membership."
"FS x V-Tgt Out","Fantasy slope difference when victim-target is outgroup rather than ingroup."
"EC x V-Oth Out","Empathic-concern slope difference when victim-other is outgroup rather than ingroup."
"PT x B-V Out","Perspective-taking slope difference when the bystander-victim relation is outgroup rather than ingroup."
"PD x B-Tgt Out","Personal-distress slope difference when the bystander-target relation is outgroup rather than ingroup."
"Target Acc","Row-dynamic target negotiator accepted the harmful deal (legacy source name: decision_target)."
"Other Acc","Row-dynamic counterpart negotiator accepted the harmful deal (legacy source name: decision_other)."
"Target x Other","Joint decision effect when both negotiator decisions are considered together."
"Eng part.","Participant belongs to Engineering, relative to Humanities."
"Woman","Participant is a woman."
"Age","Participant age."
"SES","Participant socioeconomic status."
